와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,양조,숙성
그라티 키안티 리제르바,Grati Chianti Riserva,https://www.wine21.com/13_search/wine_view.html?Idx=164561&lq=LIST,아지엔다 비니콜라 갈리가 F.lli 그라티  Azienda Vinicola Galiga F.lli Grati,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) 90% / 카나이올로 (Canaiolo) 5% / 콜로리노 (Colorino) 5%,Chianti DOCG(DOP),13~14 %,16~18 ℃,"소고기, 송아지 요리 등과 잘 어울린다.",,,1/5,4/5,3/5,3/5,"체리, 라스베리, 자두, 제비꽃, 바닐라, 감초, 삼나무, 오크","소고기, 스테이크, 붉은육류, 양갈비, 양고기, 건육, 훈제오리, 찜닭, 불고기, 양념갈비, 갈비찜, 족발, 동그랑땡, 한식, 라자냐, 파스타, 리조토, 서양요리, 자두, 치즈, 파르미지아노, 그라노파다노, 테트드무안, 콩테, 그뤼에르",Central Italy Red,,"24개월간 슬라보니아, 프렌치 오크에서 숙성."
카사노바 헨리에떼 뀌베 브뤼,Casanova Henriette Cuvee Brut,https://www.wine21.com/13_search/wine_view.html?Idx=164562&lq=LIST,지아코모 카사노바  G. Casanova,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) / 피노 블랑 (Pinot Blanc) / 가르가네가 (Garganega) / 트레비아노 (Trebbiano),,11~12 %,6~8 ℃,"식전 에피타이저, 해산물, 디저트 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"해산물, 디저트",,,
카사노바 프로세코 브뤼,Casanova Prosecco Brut,https://www.wine21.com/13_search/wine_view.html?Idx=164563&lq=LIST,지아코모 카사노바  G. Casanova,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) 100%,,11~12 %,6~8 ℃,"사시미, 캐비어, 치킨, 칠면조, 에피타이저 등과 잘 어울린다.",*2018 International Wine Challenge Winner Commended,,1/5,4/5,2/5,1/5,,사시미,Italian Prosecco,,
"샤논 릿지, 하이 엘레베이션 샤도네이","Shannon Ridge, High Elevation Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=164565&lq=LIST,샤논 릿지  Shannon Ridge,미국(U.S.A) / 캘리포니아(California) / 레이크 카운티(Lake County),샤르도네 (Chardonnay) 100%,,13~14 %,10~12 ℃,"버섯요리, 샐러드, 크림파스타, 갑각류 등과 잘 어울린다.","*2013 빈티지: California State Fair Silver, Dan Berger's International Wine Competition Bronze*2015 빈티지: Wine Enthusiast 88점, San Francisco Chronicle Wine Competition Silver",,1/5,4/5,3/5,1/5,"감귤, 멜론, 코코넛, 카라멜",,Californian Chardonnay,,
"샤논 릿지, 어젠시 까베르네 소비뇽","Shannon Ridge, Urgency Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164566&lq=LIST,샤논 릿지  Shannon Ridge,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 100%,California AVA,14~15 %,16~18 ℃,"소고기, 양고기, 가금류 등과 잘 어울린다.",* 연간 3000 케이스 생산,,1/5,4/5,4/5,4/5,"블랙체리, 블랙베리, 블루베리, 후추, 바닐라, 감초, 허브, 아몬드, 오크, 가죽","소고기, 스테이크, 양갈비, 양고기, 가금류, 불고기, 양념갈비, 갈비찜, 동그랑땡, 한식, 파스타, 햄버거, 서양요리, 피자, 견과류, 랑그르, 치즈, 체다, 고다, 브리, 테트드무안",Californian Cabernet Sauvignon,,12개월이상 America Oak.
"샤논 릿지, 어젠시 피노 누아","Shannon Ridge, Urgency Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164567&lq=LIST,샤논 릿지  Shannon Ridge,미국(U.S.A) / 캘리포니아(California),피노 누아 (Pinot Noir) 100%,California AVA,13~14 %,14~16 ℃,가금류 등과 잘 어울린다.,*연간 3000 케이스 생산,,1/5,4/5,3/5,3/5,"체리, 라스베리, 자두, 후추, 바닐라, 허브, 오크","로스트비프, 까르파치오, 바비큐, 건육, 닭강정, 오리고기, 훈제오리, 가금류, 불고기, 한식, 편육, 파스타, 오일파스타, 견과류, 치즈, 체다, 고다, 브리, 콩테",Californian Pinot Noir,,12개월이상 America Oak.
"샤논 릿지, 크로스 스프링스 리저브 카베르네 소비뇽","Shannon Ridge, Cross Springs Reserve Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164568&lq=LIST,샤논 릿지  Shannon Ridge,미국(U.S.A) / 캘리포니아(California) / 레이크 카운티(Lake County),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,14~15 %,15~17 ℃,"스테이크, 소고기 케밥, 소고기 스튜 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,,,Californian Cabernet Sauvignon,,
"슈플라이, 쉬라즈","Shoofly, Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=164569&lq=LIST,슈플라이  Shoofly,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,,14~15 %,16~18 ℃,"티본 스테이크, 등심 스테이크, 양갈비, LA 갈비, 까르보나라 파스타 등과 잘 어울린다.",*2009 빈티지: Wine Spectator 51위,,1/5,4/5,4/5,4/5,"블랙베리, 체리, 블루베리, 자두, 후추, 바닐라, 감초, 삼나무, 모카, 오크, 가죽","소고기, 스테이크, 붉은육류, 바비큐, 양갈비, 건육, 불고기, 양념갈비, 갈비찜, 족발, 파스타, 토마토파스타, 햄버거, 피자, 랑그르, 샤우르스, 치즈, 파르미지아노, 고르곤졸라, 크림치즈, 스모크",Australian Shiraz,,
슈플라이 샤도네이,Shoofly Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=164570&lq=LIST,슈플라이  Shoofly,호주(Australia) / 사우스 오스트레일리아(South Australia) / 아들레이드(Adelaide),샤르도네 (Chardonnay) 100%,,13~14 %,10~12 ℃,"후라이드 치킨, 조개찜, 라자냐, 학센 등과 잘 어울린다.","*2015 빈티지: Vinous 90점, Wine Enthusiast Best Buy 89점, Wine Spectator 89점",,1/5,4/5,3/5,1/5,구아바,라자냐,Australian Chardonnay,,
블랙 코타지 소비뇽 블랑,Black Cottage Sauvignon Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=164571&lq=LIST,블랙 코티지  Black Cottage,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc) 100%,,13~14 %,10~12 ℃,"샐러드 류, 비빔국수, 해산물 초무침 등과 잘 어울린다.","*2014 Blue Gold, Sydney International Wine Competition*2015 Gold, International Aromatic Wine Competition*2016 Gold, New World Wine Awards*Wine orbit 93+/100",,1/5,4/5,2/5,1/5,"배, 사과, 시트러스, 레몬, 흰꽃, 미네랄, 허브","바비큐, 돼지고기, 닭강정, 치킨, 초밥, 생선회, 해산물, 한식, 볶음밥, 물냉면, 오일파스타, 중국요리, 동남아요리, 아시아요리, 튀김, 식전주, 샐러드, 과일, 견과류, 치즈, 리코타, 모짜렐라",New Zealand Sauvignon Blanc,,
블랙 코타지 피노 누아,Black Cottage Pinot Noir,https://www.wine21.com/13_search/wine_view.html?Idx=164572&lq=LIST,블랙 코티지  Black Cottage,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 누아 (Pinot Noir) 100%,,13~14 %,13~15 ℃,"오리꽁피, 치킨, 퐁듀, 파스타, 이베리코 돼지요리 등과 잘 어울린다.","*2016 빈티지: Wine Orbit 90+/100, Wine Enthusiast 92점",,1/5,3/5,3/5,3/5,배,"돼지, 파스타",New Zealand Pinot Noir,,
"비냐 테라푸라, 리제르바 소비뇽 블랑","Vina Terrapura, Reserva Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=164574&lq=LIST,비나 테라푸라  Vina Terrapura,칠레(Chile) / 쿠리코 밸리(Curico Valley),소비뇽 블랑 (Sauvignon Blanc) 100%,,13~14 %,10~12 ℃,"샐러드, 부드러운 치즈, 샐러드 파스타, 과일 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,"복숭아, 서양배, 시트러스, 레몬","건육, 닭강정, 생선회, 해산물, 파스타, 샐러드, 복숭아, 과일, 치즈, 리코타, 모짜렐라",Chilean Sauvignon Blanc,,
"비냐 테라푸라, 리제르바 까베르네 소비뇽","Vina Terrapura, Reserva Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164575&lq=LIST,비나 테라푸라  Vina Terrapura,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),카베르네 소비뇽 (Cabernet Sauvignon) 85% / 시라/쉬라즈 (Syrah/Shiraz) 15%,,14~15 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",*아시아나 항공 비즈니스 라운지에서 제공,,1/5,4/5,4/5,4/5,"블랙베리, 블루베리, 자두, 붉은꽃, 꽃, 후추, 정향, 오크","소고기, 스테이크, 붉은육류, 양갈비, 불고기, 양념갈비, 갈비찜, 한식, 라자냐, 파스타, 토마토파스타, 크림파스타, 자두, 치즈, 페타, 스모크, 그뤼에르",Chilean Cabernet Sauvignon,,"미국, 프랑스산 오크에서 각 6개월 숙성."
"비냐 테라푸라, 리제르바 까르미네르","Vina Terrapura, Reserva Carmenere",https://www.wine21.com/13_search/wine_view.html?Idx=164576&lq=LIST,비나 테라푸라  Vina Terrapura,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),카르메네르 (Carmenere) 100%,,14~15 %,16~18 ℃,레드 소스 파스타 등과 잘 어울린다.,,,1/5,3/5,4/5,4/5,"블랙체리, 블랙베리, 블루베리, 후추, 바닐라, 허브, 오크","로스트비프, 소고기, 붉은육류, 양고기, 불고기, 양념갈비, 족발, 파스타, 서양요리, 치즈, 파르미지아노, 체다, 고다, 브리, 그라노파다노",Chilean Carménère,,
"비냐 테라푸라, 리제르바 피노누아","Vina Terrapura, Reserva Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164577&lq=LIST,비나 테라푸라  Vina Terrapura,칠레(Chile) / 쿠리코 밸리(Curico Valley),피노 누아 (Pinot Noir) 100%,,14~15 %,14~16 ℃,"수육, 뽀모도로 파스타, 그라노 파다노 치즈 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,"체리, 딸기, 자두, 감귤, 후추, 버섯","로스트비프, 까르파치오, 바비큐, 훈제오리, 불고기, 편육, 수육, 파스타, 오일파스타, 치즈, 체다, 고다, 콩테",Chilean Pinot Noir,,
"비냐 테라푸라, 리제르바 샤도네이","Vina Terrapura, Reserva Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=164578&lq=LIST,비나 테라푸라  Vina Terrapura,칠레(Chile) / 쿠리코 밸리(Curico Valley),샤르도네 (Chardonnay) 100%,,13~14 %,10~12 ℃,"샐러드, 부드러운 치즈, 상큼한 소스의 파스타 등과 잘 어울린다.",*아시아나 항공 비즈니스 라운지에서 제공,,1/5,4/5,3/5,1/5,"서양배, 사과, 시트러스, 레몬, 흰꽃, 꽃, 바닐라","바비큐, 돼지고기, 양꼬치, 건육, 오리로스, 가금류, 치킨, 해산물, 만두, 볶음밥, 파스타, 중국요리, 탕수육, 난자완스, 아시아요리, 샐러드, 과일, 치즈, 리코타, 모짜렐라",Chilean Chardonnay,"3월 말에 손으로 수확하여 저온에서 압착, 25일간 침용과 발효.",
"비냐 테라푸라, 리제르바 시라","Vina Terrapura, Reserva Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=164579&lq=LIST,비나 테라푸라  Vina Terrapura,칠레(Chile) / 쿠리코 밸리(Curico Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,,13~14 %,16~18 ℃,"구운 육류, 치즈, 파스타 등과 잘 어울린다.",,,1/5,4/5,5/5,4/5,"블랙베리, 블루베리, 자두, 후추, 바닐라, 삼나무, 오크","소고기, 스테이크, 붉은육류, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 파스타, 치즈, 파르미지아노, 그라노파다노, 콩테",Chilean Syrah,손 수확. 프리런 주스(Cuvee)와 포도 껍질과 씨를 함께 5일간의 저온 침용 과정과 10일간의 고온 발효.,프랑스산 오크에서 6개월 숙성.
"보데가스 까레, 화이트 블렌드","Bodegas Care, White Blend",https://www.wine21.com/13_search/wine_view.html?Idx=164580&lq=LIST,보데가스 카레  Bodegas Care,스페인(Spain) / 까리네냐(Carinena),샤르도네 (Chardonnay) 40% / 마카베오 (Macabeo) 40% / 가르나차 (Garnatxa) 20%,,13.5 %,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.","*샤르도네, 마카베오, 가르나차 3가지 품종을 블렌딩한 깨끗하고 신선한 데일리 와인*2015 빈티지: Guia Penin 87점*2017 빈티지: Guia Penin 87점",레뱅,1/5,3/5,3/5,1/5,"시트러스, 파인애플",,,,
"보데가스 까레, 모스까뗄 델 알레한드리아","Bodegas Care, Moscatel del Alejandria",https://www.wine21.com/13_search/wine_view.html?Idx=164581&lq=LIST,보데가스 카레  Bodegas Care,스페인(Spain) / 까탈루냐(Cataluna),모스까뗄 데 알레한드리아 (Moscatel del Alejandria),,13.5 %,6~8 ℃,"과일 케이크, 디저트류 등과 잘 어울린다.",*스페인 까리녜냐 지역 중 희귀한 프리미엄 모스까텔을 생산할 수 있는 떼루아에서 엄선하여 생산한 스위트 화이트 와인*2008 빈티지: Guia Penin 90점*2013 빈티지: Guia Penin 89점,레뱅,5/5,2/5,5/5,1/5,"배, 꽃, 토스트, 오크",과일,,,
"도멘 슐룸베르거, 게뷔르츠트라미너","Domaines Schlumberger, Gewurztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=164582&lq=LIST,도멘 슐룸베르거  Domaines Schlumberger,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer) 100%,Alsace AOC(AOP),13.5 %,8~10 ℃,새우 커리나 향신료가 가미된 음식 등과 잘 어울린다.,*2015 빈티지: Wine Enthusiast 91점*2014 빈티지: Wine Enthusiast 89점*2013 빈티지: Wine Enthusiast 89점,신세계엘앤비,3/5,3/5,2/5,1/5,"시트러스, 망고, 꽃",새우,Alsace Gewürztraminer,,
"도멘 슐룸베르거, 리슬링","Domaines Schlumberger, Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=164583&lq=LIST,도멘 슐룸베르거  Domaines Schlumberger,프랑스(France) / 알자스(Alsace),리슬링 (Riesling) 100%,Alsace AOC(AOP),12.5 %,8~10 ℃,"파마산 치즈를 곁들인 썬 드라이 토마토와 바질 크림 브륄레, 게살을 곁들인 토마토 스프 등과 잘 어울린다.","*2015 빈티지: Wine Enthusiast 92점*2014 빈티지: Wine Enthusiast 91점, Wine&Spirits 86점*2013 빈티지: Wine Enthusiast 89점, Wine&Spirits 88점, Wine Spectator 89점",신세계엘앤비,2/5,3/5,2/5,1/5,"복숭아, 라임, 파파야, 꽃, 미네랄","게살, 복숭아",Alsace Riesling,,
"도멘 슐룸베르거, 피노 그리","Domaines Schlumberger, Pinot Gris",https://www.wine21.com/13_search/wine_view.html?Idx=164584&lq=LIST,도멘 슐룸베르거  Domaines Schlumberger,프랑스(France) / 알자스(Alsace),피노 그리 (Pinot Gris) 100%,Alsace AOC(AOP),13.5 %,8~10 ℃,"아르마냑으로 만든 거위 테린, 송아지 요리, 가금류 요리 등 전통적인 프랑스 요리 등과 잘 어울린다.","*2015 빈티지: Wine Enthusiast 91점*2014 빈티지: Wine Enthusiast 91점, Wine Spectator 89점*2013 빈티지: Wine Enthusiast 89점",신세계엘앤비,2/5,3/5,2/5,1/5,"배, 아몬드","송아지, 가금류",Alsace Pinot Gris,,
"도멘 슐룸베르거, 피노 누아","Domaines Schlumberger, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164585&lq=LIST,도멘 슐룸베르거  Domaines Schlumberger,프랑스(France) / 알자스(Alsace),피노 누아 (Pinot Noir) 100%,Alsace AOC(AOP),12~13 %,14~16 ℃,"사퀴테리, 부드럽게 조리한 송아지고기 로스트, 체리 소스를 곁들인 오리 가슴살 요리 등과 잘 어울린다.","*2015 빈티지: Wine Enthusiast 89점*2014 빈티지: Wine Enthusiast 87점, Wine &Spirits 90점",신세계엘앤비,1/5,3/5,3/5,2/5,"배, 장미",송아지,Alsace Pinot Noir,,
"도멘 슐룸베르거, 게뷔르츠트라미너 케슬러 그랑 크뤼","Domaines Schlumberger, Gewurztraminer Kessler Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=164586&lq=LIST,도멘 슐룸베르거  Domaines Schlumberger,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer) 100%,"Alsace Grand Cru AOC(AOP), 'Kessler'",13.5 %,10~12 ℃,향신료를 가미한 생선이나 가금류 요리 등과 잘 어울린다.,"*2014 빈티지: Wine Enthusiast 95점*2012 빈티지: Wine Enthusiast 91점, Winespectator 92점",신세계엘앤비,3/5,3/5,2/5,1/5,"배, 꽃",가금류,Alsace Gewürztraminer,,
"도멘 슐룸베르거, 리슬링 사에링 그랑 크뤼","Domaines Schlumberger, Riesling Saering Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=164587&lq=LIST,도멘 슐룸베르거  Domaines Schlumberger,프랑스(France) / 알자스(Alsace),리슬링 (Riesling) 100%,"Alsace Grand Cru AOC(AOP), 'Saering'",14 %,10~12 ℃,"칼라마리, 아시아풍으로 조리한 연어, 시트러스를 곁들인 랍스터 등과 잘 어울린다.","*2014 빈티지: Wine Enthusiast 96점*2013 빈티지: Wine Enthusiast 92점, Winespectator 91점, Wine&Spirits 95점",신세계엘앤비,2/5,3/5,2/5,1/5,,"연어, 랍스터",Alsace Riesling,,
"도멘 슐룸베르거, 피노 그리 슈피겔 그랑 크뤼","Domaines Schlumberger, Pinot Gris Spiegel Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=164588&lq=LIST,도멘 슐룸베르거  Domaines Schlumberger,프랑스(France) / 알자스(Alsace),피노 그리 (Pinot Gris) 100%,"Alsace Grand Cru AOC(AOP), 'Spiegel'",13.5 %,10~12 ℃,"로크포르 등의 블루치즈, 구운 푸아그라  등과 잘 어울린다.","*2014 빈티지: Wine Enthusiast 94점*2012 빈티지: Wine Enthusiast 92점, Winespectator 91점",신세계엘앤비,2/5,4/5,2/5,1/5,"꽃, 미네랄, 감초, 꿀",푸아그라,Alsace Pinot Gris,,
"도멘 슐룸베르거, 게뷔르츠트라미너 뀌베 안느 셀렉시옹 그랑  노블","Domaines Schlumberger, Gewurztraminer Cuvee Anne Selection de Grains Nobles",https://www.wine21.com/13_search/wine_view.html?Idx=164589&lq=LIST,도멘 슐룸베르거  Domaines Schlumberger,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer) 100%,,11~12 %,6~8 ℃,"풍미가 강한 블루치즈, 흰 복숭아 혹은 시트러스 과일로 만든 소르베 등과 잘 어울린다.",*2009 빈티지: Wine Spectator 94점,신세계엘앤비,5/5,3/5,5/5,1/5,,,Alsace Gewürztraminer,,
"도멘 슐룸베르거, 게뷔르츠트라미너 뀌베 크리스틴 방당주 타르디브","Domaines Schlumberger, Gewurztraminer Cuvee Christine Vendange Tardive",https://www.wine21.com/13_search/wine_view.html?Idx=164590&lq=LIST,도멘 슐룸베르거  Domaines Schlumberger,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer) 100%,,12.5 %,6~8 ℃,블루치즈와 잘 어울린다.,"*2013 빈티지: Wine&Spirits 94점, Wine Spectator 92점*2011 빈티지: Wine Enthusiast 90점, Wine Spectator 91점",신세계엘앤비,4/5,3/5,3/5,1/5,레몬,,Alsace Gewürztraminer,,
"인 드림스, 피노 누아","In Dreams, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164591&lq=LIST,인 드림스  In Dreams,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),피노 누아 (Pinot Noir) 100%,,13 %,14~16 ℃,"오리고기, 버섯 리조트 등과 잘 어울린다.",*2015 빈티지: James Halliday Wine Companion 2017 - 94점,와인투유코리아,1/5,3/5,3/5,2/5,"장미, 흙","오리고기, 버섯",Australian Pinot Noir,,
"까스텔 미미, 클래식 페테아스카 알바","Castel MiMi, Classic Feteasca Alba",https://www.wine21.com/13_search/wine_view.html?Idx=164592&lq=LIST,카스텔 미미  Castel MiMi,몰도바(Moldova),페테아스카 알바 (Feteasca Alba) 100%,,,10~12 ℃,"전채 요리, 흰살 생선, 스시, 해산물 요리 등과 잘 어울린다.",*Asia Wine Trophy 2018 Silver medal*Portugal Wine Trophy 2018 Silver medal*Decanter Asian Wine Award 2017 Silver medal,,1/5,4/5,2/5,1/5,시트러스,"스시, 해산물",,,
