와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,추천음식,수입사,스타일,등급
"곤잘레스 비야스, 솔레라 1847","Gonzalez Byass, Solera 1847",https://www.wine21.com/13_search/wine_view.html?Idx=178278&lq=LIST,곤잘레스 비야스  Gonzalez Byass,스페인(Spain) / 헤레즈-헤레스-셰리(Jerez-Xeres-Sherry),팔로미노 (Palomino) / 페드로 히메네스 (Pedro Ximenez),,American Oak Barrel에서 약 8년 간 Solera(솔레라) 시스템 숙성.,,8~10 ℃,* Mundus Vini Gold,4/5,4/5,4/5,1/5,"무화과, 잼, 건포도, 말린무화과, 말린과일, 바닐라, 오크","치즈, 디저트, 케이크, 아이스크림, 초콜렛, 스낵",,문도비노,Spanish Sherry,
"곤잘레스 비야스, 아포스톨레스 30년","Gonzalez Byass,  Apostoles 30 years",https://www.wine21.com/13_search/wine_view.html?Idx=178279&lq=LIST,곤잘레스 비야스  Gonzalez Byass,스페인(Spain) / 헤레즈-헤레스-셰리(Jerez-Xeres-Sherry),팔로미노 (Palomino) / 페드로 히메네스 (Pedro Ximenez),,American Oak Barrel에서 30년 이상 Solera(솔레라) 시스템 숙성.,,8~10 ℃,* Decanter - Gold,4/5,4/5,4/5,1/5,"말린무화과, 말린과일, 헤이즐넛, 아몬드, 카라멜, 삼나무","소고기, 붉은육류, 거위간, 푸아그라, 치즈, 그뤼에르",,문도비노,Spanish Sherry,
샤또 레 카르메 오브리옹,Chateau Les Carmes Haut-Brion,https://www.wine21.com/13_search/wine_view.html?Idx=178280&lq=LIST,샤또 레 카르메 오브리옹  Chateau Les Carmes Haut-Brion,프랑스(France) / 보르도(Bordeaux) / 뻬싹-레오냥(Pessac-Leognan),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon),,30% 뉴 오크에서 18~24개월 숙성,,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙커런트, 블루베리, 미네랄, 카카오, 오크","안심, 포크, 오리고기",,,Bordeaux Pessac-Léognan,Pessac-Léognan AOC(AOP)
샤또 드 프랑스,Chateau de France,https://www.wine21.com/13_search/wine_view.html?Idx=178281&lq=LIST,샤또 드 프랑스  Chateau de France,프랑스(France) / 보르도(Bordeaux) / 뻬싹-레오냥(Pessac-Leognan),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,30% 뉴오크에서 12개월 숙성,,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙커런트, 블랙베리, 꽃, 피망, 후추, 오크","그릴요리, 소고기, 오겹살, 건육",,,Bordeaux Pessac-Léognan,Pessac-Léognan AOC(AOP)
"곤잘레스 비야스, 알폰소","Gonzalez Byass, Alfonso",https://www.wine21.com/13_search/wine_view.html?Idx=178282&lq=LIST,곤잘레스 비야스  Gonzalez Byass,스페인(Spain) / 헤레즈-헤레스-셰리(Jerez-Xeres-Sherry),팔로미노 (Palomino),,American Oak Barrel에서 약 8년 간 Solera(솔레라) 시스템 숙성.,,8~10 ℃,,1/5,4/5,3/5,1/5,"말린과일, 바닐라, 허브, 아몬드, 캐슈넛","거위간, 푸아그라, 닭고기, 가금류, 해산물, 아시아요리, 튀김, 식전주, 디저트",,문도비노,Spanish Sherry,
샤토 샨트그리브,Chateau Chantegrive,https://www.wine21.com/13_search/wine_view.html?Idx=178283&lq=LIST,샤토 샨트그리브  Chateau Chantegrive,프랑스(France) / 보르도(Bordeaux) / 그라브(Graves),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 베르도 (Petit Verdot),,뉴배럴(50%)에서 12개월 숙성,,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙커런트, 레드커런트, 허브, 오크","안심, 소고기, 양갈비, 오리고기",,,Bordeaux Graves Red,Graves AOC(AOP)
"곤잘레스 비야스, 크리스티나","Gonzalez Byass, Cristina",https://www.wine21.com/13_search/wine_view.html?Idx=178284&lq=LIST,곤잘레스 비야스  Gonzalez Byass,스페인(Spain) / 헤레즈-헤레스-셰리(Jerez-Xeres-Sherry),팔로미노 (Palomino) / 페드로 히메네스 (Pedro Ximenez),,American Oak Barrel에서 약 7년 간 Solera(솔레라) 시스템 숙성.,,8~10 ℃,* 2016 코리아와인챌린지 - 트로피 포티파이드,3/5,4/5,3/5,1/5,"무화과, 잼, 건포도, 말린과일, 카라멜","소시지, 건육, 가금류, 해산물, 동남아요리, 아시아요리, 튀김, 치즈, 디저트",,문도비노,Spanish Sherry,
"곤잘레스 비야스, 티오 페페","Gonzalez Byass, Tio Pepe",https://www.wine21.com/13_search/wine_view.html?Idx=178285&lq=LIST,곤잘레스 비야스   Gonzales Byass,스페인(Spain) / 헤레즈-헤레스-셰리(Jerez-Xeres-Sherry),팔로미노 (Palomino),,American Oak Barrel에서 최소 4년의 Flor(플로르) 방식 숙성.,,8~10 ℃,* GUÍA PEÑÍN - 94 Points,1/5,4/5,3/5,1/5,"헤이즐넛, 아몬드, 효모","파스타, 피자, 튀김, 치즈, 디저트",,문도비노,Spanish Sherry,
"곤잘레스 비야스, 티오 페페 엔 라마","Gonzalez Byass, Tio Pepe en Rama",https://www.wine21.com/13_search/wine_view.html?Idx=178286&lq=LIST,곤잘레스 비야스   Gonzales Byass,스페인(Spain) / 헤레즈-헤레스-셰리(Jerez-Xeres-Sherry),팔로미노 (Palomino),,American Oak Barrel에서 약 5년의 Flor(플로르) 방식 숙성,,8~10 ℃,,1/5,4/5,4/5,1/5,"오렌지, 페이스트리, 브리오슈, 피칸, 호두, 효모","소시지, 양꼬치, 건육, 파스타, 피자, 동남아요리, 아시아요리, 튀김, 디저트",,문도비노,Spanish Sherry,
"비냐스 델 베로, 블레쿠아","Vinas del Vero, Blecua",https://www.wine21.com/13_search/wine_view.html?Idx=178287&lq=LIST,비냐스 델 베로  Vinas del Vero,스페인(Spain) / 소몬타노(Somontano),카베르네 소비뇽 (Cabernet Sauvignon) / 템프라니요 (Tempranillo) / 시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot),,품종별로 각각 프랑스 알리에 Allier 오크 8개월 숙성 후 블렌딩하여 12개월 숙성.,,16~18 ℃,* International Wine Challenge Commended* Mundus Vini Gold Medal,1/5,3/5,4/5,3/5,"블랙체리, 자두, 말린과일, 토스트, 초콜릿","스튜, 소고기, 스테이크, 붉은육류, 양고기, 파스타, 토마토파스타, 치즈",,문도비노,Spanish Cabernet Sauvignon,
"비냐스 델 베로, 루세스 까바 브뤼","Vinas del Vero, Luces Cava Brut",https://www.wine21.com/13_search/wine_view.html?Idx=178288&lq=LIST,비냐스 델 베로  Vinas del Vero,스페인(Spain) / 페네데스(Penedes),마카베오 (Macabeo) / 빠레야다 (Parellada) / 자렐로 (Xarel.lo),,15개월 이상 효모(Lees) 숙성.,,6~8 ℃,* Berlin Wine Trophy - Gold,1/5,3/5,4/5,1/5,"사과, 흰꽃, 꽃, 미네랄, 허브, 효모","닭강정, 치킨, 생선회, 해산물, 샐러드, 치즈",,문도비노,Spanish Cava,
"비냐스 델 베로, 루세스 블랑코","Vinas del Vero, Luces Blanco",https://www.wine21.com/13_search/wine_view.html?Idx=178289&lq=LIST,비냐스 델 베로  Vinas del Vero,스페인(Spain) / 소몬타노(Somontano),샤르도네 (Chardonnay) / 마카베오 (Macabeo) / 소비뇽 블랑 (Sauvignon Blanc),,,,10~12 ℃,,1/5,4/5,1/5,1/5,"살구, 복숭아, 시트러스, 라임, 열대과일, 망고, 허브","광어, 흰살생선, 해산물, 샐러드, 복숭아",,문도비노,,
"비냐스 델 베로, 루세스 틴토","Vinas del Vero, Luces Tinto",https://www.wine21.com/13_search/wine_view.html?Idx=178290&lq=LIST,비냐스 델 베로  Vinas del Vero,스페인(Spain) / 소몬타노(Somontano),템프라니요 (Tempranillo) / 시라/쉬라즈 (Syrah/Shiraz) / 카베르네 소비뇽 (Cabernet Sauvignon),,아메리칸 오크 배럴 4개월.,,14~16 ℃,* Mundus Vini - Silver,1/5,2/5,4/5,1/5,"딸기, 라스베리, 제비꽃, 꽃, 미네랄, 바닐라, 유칼립투스","소고기, 스테이크, 육류요리, 라자냐, 파스타, 서양요리, 피자, 치즈",,문도비노,Spanish Red,
"로드리게스 산조, 데스피아다도","Rodriguez Sanzo, Despiadado",https://www.wine21.com/13_search/wine_view.html?Idx=178291&lq=LIST,로드리게스 산조  Rodriguez y Sanzo,스페인(Spain) / 레온(Leon) / 카스티야 이 레옹(Castilla Y Leon),시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot) / 템프라니요 (Tempranillo),,,,16~18 ℃,,2/5,3/5,4/5,3/5,"블랙베리, 라스베리, 후추, 정향","스튜, 바비큐, 돼지고기, 파스타, 서양요리",,문도비노,Spanish Red,
"로드리게스 산조, 바호 벨로 루에다 베르데호","Rodriguez Sanzo, Bajo Velo Rueda Verdejo",https://www.wine21.com/13_search/wine_view.html?Idx=178292&lq=LIST,로드리게스 산조  Rodriguez y Sanzo,스페인(Spain) / 루에다(Rueda),베르데호 (Verdejo),,10개월 동안 셰리 오크에서 숙성 (부분 Flor 숙성),,8~10 ℃,* GUIA PENIN - 93 Points,1/5,3/5,3/5,1/5,"열대과일, 리치, 흰꽃, 꽃, 미네랄, 허브, 아몬드","건육, 하몽, 해산물, 서양요리, 리조또",,문도비노,Spanish Verdejo,
"로드리게스 산조, 엘 킨토 파라헤 베르데호","Rodriguez Sanzo, El Quinto Paraje Verdejo",https://www.wine21.com/13_search/wine_view.html?Idx=178293&lq=LIST,로드리게스 산조  Rodriguez y Sanzo,스페인(Spain) / 루에다(Rueda),베르데호 (Verdejo),,,,8~10 ℃,* Guia de Vinos y Aceites - 95 Points* GUIA PENIN - 93 Points,2/5,3/5,2/5,1/5,"복숭아, 열대과일, 감초, 헤이즐넛, 오크, 효모","생선찜, 초밥, 생선회, 연어, 동남아요리, 아시아요리, 복숭아, 치즈",,문도비노,Spanish Verdejo,
"로드리게스 산조, 위스바 템프라니요","Rodriguez Sanzo, Whisba Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=178294&lq=LIST,로드리게스 산조  Rodriguez y Sanzo,스페인(Spain) / 레온(Leon) / 카스티야 이 레옹(Castilla Y Leon),템프라니요 (Tempranillo),,위스키 배럴에서 18개월 숙성 후 12개월 병 숙성.,,14~16 ℃,* GUIA PENIN - 93 Points,2/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 후추, 바닐라, 정향, 토스트, 초콜릿","소고기, 바비큐, 양고기, 불고기, 양념갈비, 순대, 라자냐, 리조또, 치즈, 파르미지아노, 그라노파다노",,문도비노,Spanish Tempranillo,
"로드리게스 산조, 트라스 라 에스카","Rodriguez Sanzo, Tras la Yesca",https://www.wine21.com/13_search/wine_view.html?Idx=178295&lq=LIST,로드리게스 산조  Rodriguez y Sanzo,스페인(Spain) / 토로(Toro),틴타 데 또로  (Tinta de Toro),,프렌치 오크 12개월 숙성.,,14~16 ℃,* GUIA PENIN - 92 Points,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 체리, 토스트, 커피, 초콜릿, 오크","소고기, 붉은육류, 양갈비, 양고기, 건육, 불고기, 양념갈비, 순대, 서양요리, 중국요리, 치즈",,문도비노,,
"크로스반 바이 폴 홉스, 샤르도네 소노마 코스트","CrossBarn by Paul Hobbs, Chardonnay Sonoma Coast",https://www.wine21.com/13_search/wine_view.html?Idx=178296&lq=LIST,폴 홉스  Paul Hobbs,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),샤르도네 (Chardonnay) 100%,,,,10~12 ℃,,1/5,4/5,2/5,1/5,"청사과, 서양배, 레몬껍질, 꽃, 미네랄","생선회, 해산물, 한식",와 잘 어울린다.,에노테카코리아,Californian Chardonnay,Sonoma Coast AVA
"불리오니, 루가나 무사","Buglioni, Lugana Musa",https://www.wine21.com/13_search/wine_view.html?Idx=178297&lq=LIST,불리오니  Buglioni,이탈리아(Italy) / 베네토(Veneto) / 베로나(Verona) / 루가나(Lugana),트레비아노 (Trebbiano),,"스테인리스 스틸 탱크에서 5개월, 병입 후 2개월 안정화",,8~10 ℃,,1/5,4/5,3/5,1/5,"청사과, 살구, 복숭아, 오렌지, 감귤, 흰꽃, 꽃, 미네랄","생선찜, 광어, 생선회, 사시미, 해산물, 문어숙회, 새우, 오일파스타, 아시아요리, 튀김, 복숭아",,문도비노,,
"불리오니, 리파소 발폴리첼라 클라시코 수페리오레","Buglioni, Ripasso Valpolicella Classico Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=178298&lq=LIST,불리오니  Buglioni,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 크로아티나 (Croatina) / 오세레타 (Oseleta),,"오크(tonneaux) & 50hl 캐스크 12개월 숙성, 병입 후 6개월 숙성",,16~18 ℃,,1/5,2/5,4/5,3/5,"레드커런트, 라스베리, 자두, 바닐라, 정향, 타바코","소고기, 육류요리, 돼지고기, 양고기, 찜닭, 불고기, 양념갈비, 갈비찜, 라자냐, 중국요리, 버섯, 자두, 치즈",,문도비노,Italian Valpolicella Red,
"불리오니, 몰리 로제 프리잔테","Buglioni, Moli Rose Frizzante",https://www.wine21.com/13_search/wine_view.html?Idx=178299&lq=LIST,불리오니  Buglioni,이탈리아(Italy) / 베네토(Veneto),몰리나라 (Molinara),,6 개월 병 숙성,,8~10 ℃,,1/5,2/5,3/5,1/5,"서양배, 자몽, 오렌지, 장미, 꽃, 효모","건육, 살라미, 닭강정, 닭고기, 오리로스, 치킨, 해산물, 생굴, 족발, 오일파스타, 중국요리, 탕수육",,문도비노,,
"불리오니, 발폴리첼라 클라시코 수페리오레","Buglioni, Valpolicella Classico Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=178300&lq=LIST,불리오니  Buglioni,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 크로아티나 (Croatina),,"오크(tonneaux) & 50hl 캐스크에서 6-8개월 숙성, 병입 후 9개월 숙성",,16~18 ℃,,1/5,3/5,3/5,3/5,"레드커런트, 자두, 라벤더, 제비꽃, 꽃, 오크","스튜, 소고기, 찜닭, 불고기, 갈비찜, 족발, 파스타, 중국요리, 자두, 치즈",,문도비노,Italian Valpolicella Red,
"불리오니, 비앙코","Buglioni, Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=178301&lq=LIST,불리오니  Buglioni,이탈리아(Italy) / 베네토(Veneto),가르가네가 (Garganega) / 인크로시오 만조니  (Incrocio Manzoni),,"스테인리스 스틸 탱크에서 4개월, 병입 후 2개월 안정화.",,10~12 ℃,,1/5,4/5,2/5,1/5,"망고, 파인애플, 흰꽃, 꽃, 허브","후라이드, 치킨, 스시, 해산물, 오일파스타, 중국요리, 동남아요리, 아시아요리",,문도비노,,
"불리오니, 아마로네 클라시코 리제르바","Buglioni, Amarone Classico Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=178302&lq=LIST,불리오니  Buglioni,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 오세레타 (Oseleta) / 크로아티나 (Croatina),,"오크(tonneaux) 30개월 숙성, 병입 후 최소 18개월 숙성.",,16~18 ℃,,2/5,3/5,5/5,3/5,"블랙베리, 자두, 말린과일, 감초, 타바코","스튜, 소고기, 스테이크, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 라자냐, 버섯, 치즈",,문도비노,Italian Amarone,
"불리오니, 아마로네 델라 발폴리첼라 클라시코","Buglioni, Amarone della Valpolicella Classico",https://www.wine21.com/13_search/wine_view.html?Idx=178303&lq=LIST,불리오니  Buglioni,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 크로아티나 (Croatina) / 오세레타 (Oseleta),,"50hl 캐스크 30개월 숙성, 병입 후 12개월 숙성.",,16~18 ℃,,2/5,1/5,5/5,3/5,"블랙체리, 체리, 말린과일, 후추, 정향, 민트","소고기, 스테이크, 육류요리, 양갈비, 건육, 찜닭, 라자냐, 치즈",,문도비노,Italian Valpolicella Red,
"콜레마토니, 로쏘 디 몬탈치노","Collemattoni, Rosso di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=178304&lq=LIST,콜레마토니  Collemattoni,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese),,"32hl 슬라보니안 오크 최소 12개월 숙성, 3-4개월 병 숙성.",,16~18 ℃,* Restaurant Wine Awards - Silver Medal,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 자두, 제비꽃, 꽃, 바닐라, 오크","그릴요리, 까르파치오, 쇠고기, 육류요리, 바비큐, 양갈비, 건육, 불고기, 라자냐, 파스타, 서양요리, 리조또, 버섯, 자두, 치즈",,문도비노,Central Italy Red,
"콜레마토니, 브루넬로 디 몬탈치노 리제르바 비냐 폰텔론타노","Collemattoni, Brunello Di Montalcino Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=178305&lq=LIST,콜레마토니  Collemattoni,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese),,"5hl 프렌치 오크 최소 36개월 숙성, 18개월 병 숙성.",,16~18 ℃,,1/5,3/5,4/5,3/5,"블랙베리, 체리, 자두, 제비꽃, 꽃, 바닐라, 정향, 아니스, 가죽","스튜, 소고기, 스테이크, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 라자냐, 리조토, 서양요리, 버섯, 자두, 치즈",,문도비노,Italian Brunello,
"콜레마토니, 브루넬로 디 몬탈치노","Collemattoni, Brunello Di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=178306&lq=LIST,콜레마토니  Collemattoni,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese),,"32hl 슬라보니안 오크 최소 30개월 숙성, 4개월 병 숙성.",,16~18 ℃,,1/5,4/5,4/5,3/5,"블랙체리, 블랙베리, 자두, 바닐라, 정향, 아니스, 허브, 타바코, 모카, 가죽","소고기, 스테이크, 육류요리, 양고기, 양념갈비, 갈비찜, 파스타, 토마토파스타, 서양요리, 자두, 치즈, 파르미지아노, 그라노파다노, 페타, 콩테",,문도비노,Italian Brunello,
"콜레마토니, 아도네 로쏘 토스카노","Collemattoni, Adone Rosso Toscano",https://www.wine21.com/13_search/wine_view.html?Idx=178307&lq=LIST,콜레마토니  Collemattoni,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 메를로 (Merlot),,,,16~18 ℃,,1/5,3/5,3/5,3/5,"블랙베리, 체리, 블루베리, 제비꽃, 꽃, 바닐라, 정향","그릴요리, 소고기, 바비큐, 양고기, 건육, 훈제오리, 불고기, 양념갈비, 족발, 한식, 중국요리, 치즈",,문도비노,Central Italy Red,
"페를라쥬, 스가조 프로세코 트레비소 엑스트라 드라이","Perlage, Sgajo Prosecco Treviso Extra Dry",https://www.wine21.com/13_search/wine_view.html?Idx=178308&lq=LIST,페를라쥬  Perlage,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),,,,6~8 ℃,* Falstaff Awards - 90 Points* Mundus Vini - Silver medal,2/5,3/5,3/5,1/5,"복숭아, 서양배, 사과, 흰꽃, 꽃, 미네랄","아시아요리, 전체요리, 야채, 샐러드, 복숭아, 견과류, 치즈",,문도비노,Italian Prosecco,
"페를라쥬, 아프라 프로세코 로제 엑스트라 드라이 밀레시마토",Perlage Afra Prosecco Rose Extra Dry Millesimato,https://www.wine21.com/13_search/wine_view.html?Idx=178309&lq=LIST,페를라쥬  Perlage,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) / 피노 네로 (Pinot Nero),,,,6~8 ℃,* Falstaff Awards - 91 Points* Mundus Vini - Gold,2/5,3/5,2/5,1/5,"체리, 크랜베리, 열대과일, 꽃, 허브","닭강정, 닭고기, 치킨, 해산물, 씨푸드, 조개구이, 한식, 편육, 중국요리, 샐러드",,문도비노,Italian Prosecco,
