와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급
"도레미, 므츠바네","DoReMi, Mtsvane",https://www.wine21.com/13_search/wine_view.html?Idx=175415&lq=LIST,도레미  DoReMi [B2B],조지아(Georgia),고룰리 므츠바네 (Goruli Mtsvane),,,13~14 %,10~12 ℃,,,1/5,3/5,2/5,1/5,"사과, 배, 복숭아, 백도","서양요리, 아시아요리, 치즈",,,
"이클립스 와이너리, 르카치텔리-샤도네이","Eclipse Winery, Rkatsiteli-Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175417&lq=LIST,이클립스 와이너리  Eclipse Winery [B2B],조지아(Georgia),르카치텔리 (Rkatsiteli) / 샤르도네 (Chardonnay),,,12~13 %,10~12 ℃,,,1/5,3/5,2/5,1/5,"청사과, 복숭아, 배, 서양배, 시트러스","해산물, 서양요리, 아시아요리, 샐러드, 치즈",,,
"이클립스 와이너리, 므츠바네","Eclipse Winery, Mtsvane",https://www.wine21.com/13_search/wine_view.html?Idx=175418&lq=LIST,이클립스 와이너리  Eclipse Winery [B2B],조지아(Georgia),고룰리 므츠바네 (Goruli Mtsvane),,,14~15 %,10~12 ℃,,,1/5,3/5,2/5,1/5,"청사과, 배, 서양배, 시트러스","해산물, 서양요리, 아시아요리, 샐러드, 치즈",,,
"지더블유에스, 비스미노 므츠바네 바이오","GWS, Vismino Mstvane Bio",https://www.wine21.com/13_search/wine_view.html?Idx=175419&lq=LIST,지더블유에스  GWS [B2B],조지아(Georgia) / 카헤티(Kakheti),고룰리 므츠바네 (Goruli Mtsvane),fermented without skin contact at 16-18 °C,8-10 months French oak barrel,13~14 %,10~12 ℃,,,1/5,3/5,2/5,1/5,"배, 서양배, 시트러스","해산물, 서양요리, 아시아요리, 샐러드, 치즈",,,
"지더블유에스, 비스미노 사페라비 카베르네 프랑","GWS, Vismino Saperavi Cabernet Franc",https://www.wine21.com/13_search/wine_view.html?Idx=175420&lq=LIST,지더블유에스  GWS [B2B],조지아(Georgia),사페라비 (Saperavi) / 카베르네 프랑 (Cabernet Franc),Wine is fermented with full skin contact at 8-10 °C with cold maceration prior to alcoholic fermentation,100% 3 years old barrels,13~14 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙체리, 블랙커런트, 아니스","스테이크, 돼지고기, 양갈비, 불고기",,,
"물랭 드 라 가르데뜨, 지공다스 '라 쁘띠뜨 가르데뜨'","Moulin de La Gardette, Gigondas 'La Petite Gardette'",https://www.wine21.com/13_search/wine_view.html?Idx=175421&lq=LIST,물랭 드 라 가르데뜨  Moulin de La Gardette,프랑스(France) / 론(Rhone) / 지공다스(Gigondas),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache),,,,16~18 ℃,,(주)인디펜던트리쿼코리아,1/5,3/5,4/5,4/5,"체리, 블루베리, 라스베리, 후추, 바닐라, 허브, 민트","소고기, 스테이크, 육류요리, 바비큐, 양갈비, 건육, 거위간, 양념갈비, 갈비찜, 한식, 라자냐, 서양요리, 치즈, 체다, 고다, 브리",* Vivino 평점 4.0,Southern Rhône Red,
"물랭 드 라 가르데뜨, 지공다스 '트라디씨옹'","Moulin de La Gardette, Gigondas 'Tradition'",https://www.wine21.com/13_search/wine_view.html?Idx=175422&lq=LIST,물랭 드 라 가르데뜨  Moulin de La Gardette,프랑스(France) / 론(Rhone) / 지공다스(Gigondas),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 무르베드르 (Mourvedre),,,,16~18 ℃,,(주)인디펜던트리쿼코리아,1/5,3/5,4/5,4/5,"블랙체리, 딸기, 라스베리, 살구, 후추, 바닐라, 허브","소고기, 스테이크, 육류요리, 바비큐, 양갈비, 건육, 양념갈비, 갈비찜, 족발, 동그랑땡, 토마토파스타, 리조토, 견과류, 치즈, 파르미지아노, 고다, 그라노파다노, 페타",,Southern Rhône Red,
"물랭 드 라 가르데뜨, 지공다스 '벙따브랭'","Moulin de La Gardette, Gigondas 'Ventabren'",https://www.wine21.com/13_search/wine_view.html?Idx=175423&lq=LIST,물랭 드 라 가르데뜨  Moulin de La Gardette,프랑스(France) / 론(Rhone) / 지공다스(Gigondas),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 쌩쏘 (Cinsault),포도 나무 평균 수령 50년 이상 (그르나슈 100년 이상)의 올드 바인.,,,16~18 ℃,,(주)인디펜던트리쿼코리아,1/5,3/5,4/5,4/5,"레드커런트, 체리, 라스베리, 제비꽃, 후추, 바닐라, 정향, 초콜릿","소고기, 스테이크, 붉은육류, 바비큐, 양갈비, 양고기, 건육, 양념갈비, 갈비찜, 라자냐, 토마토파스타, 리조토, 치즈, 파르미지아노, 고다, 까망베르, 그라노파다노, 테트드무안",,Southern Rhône Red,
"다렌버그, 드라이 댐 리슬링","d'Arenberg, The Dry Dam Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=175424&lq=LIST,다렌버그  d'Arenberg,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),리슬링 (Riesling),"소규모 포도 배치는 부드럽게 압착되고, 냉각된 후 바스켓 프레스","발효는 길고 서늘하게 진행되며, 고미네랄 산도를 균형 있게 유지하기 위해 완전히 건조해지기 전에 중단",10~11 %,6~8 ℃,,금양인터내셔날,2/5,4/5,1/5,1/5,"사과, 라임, 레몬, 흰꽃, 꽃, 허브","흰살생선, 해산물, 파스타, 피자, 중국요리, 야채, 샐러드, 과일, 치즈, 파르미지아노, 고다, 카망베르, 그라노파다노, 모짜렐라, 케이크, 스낵","* 와인의 이름인 드라이 댐은 1992년, 드라이한 겨울에 댐을 만들었던 이웃의 모습에서 착안한 이름으로 농부였던 이웃에게는 문제가 된 메마른 댐이었으나 와이너리의 포도에는 좋은 영향을 끼쳤던 일화를 바탕으로 이름 붙였다. 와인 양조 과정에서는 작은 배치에서 부드럽게 으깬 후, 바구니로 압착하며, 저온에서 발효를 진행하는데 높은 미네랄리티와 산도와 잔당감의 밸런스를 완벽하게 구현할때까지 충분히 진행한다. 높은 수상 내역과 뛰어난 접근성을 자랑하는 다렌버그의 대표 화이트 와인 중 하나로 호주 리슬링이 선사하는 프레쉬함과 뛰어난 아로마가 매력적이다.",Australian Riesling,
"미켈레 끼아를로, 가비 아트 레이블","Michele Chiarlo, Gavi Art Label",https://www.wine21.com/13_search/wine_view.html?Idx=175425&lq=LIST,미켈레 끼아를로  Michele Chiarlo,이탈리아(Italy) / 피에몬테(Piemonte) / 가비(Gavi),코르테제 (Cortese),,,12~13 %,8~10 ℃,,,1/5,3/5,3/5,1/5,"시트러스, 감귤, 레몬, 흰꽃, 꽃, 미네랄","스시, 생선회, 흰살생선, 해산물, 오일파스타, 중국요리, 탕수육, 샐러드","* 피에몬테의 예술가 '미켈레 끼아를로'와 독특하고 매혹적인 설치 작품을 선보이는 '박선기' 작가와의 만남으로 탄생한 와인이다. 자연의 순환적 의미를 작품에 담고 있으며 불, 에너지의 시작과 끝이 이어지는 사이클을 표현하고 있다. 주로 나무를 태운 숯을 공중에 매달아 다양한 이미지로 표현하는 작품을 선보이고 있다. 바롤로에는 박선기 작가의 '화분' 드로잉이 표현되었다. '미켈레 끼아를로 가비 DOCG 아트레이블'은 미켈레 끼아를로에서 한국을 위해 특별히 선보인 와인으로 '화이트 바롤로'라고 불리울 정도로 높은 품질을 지닌 와인으로 섬세하고 신선함이 매력적인 와인이다.",Italian Gavi,Gavi / Cortese di Gavi DOCG(DOP)
"미켈레 끼아를로, 바롤로 아트 레이블","Michele Chiarlo, Barolo Art Label",https://www.wine21.com/13_search/wine_view.html?Idx=175426&lq=LIST,미켈레 끼아를로  Michele Chiarlo,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo),,,14~15 %,16~18 ℃,,,1/5,4/5,4/5,4/5,"레드커런트, 체리, 딸기, 라스베리, 말린자두, 붉은꽃, 정향, 감초, 흙","스튜, 소고기, 스테이크, 붉은육류, 양갈비, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 라자냐, 토마토파스타, 버섯, 루꼴라, 치즈, 파르미지아노, 그라노파다노, 테트드무안, 콩테","* 피에몬테의 예술가 '미켈레 끼아를로'와 독특하고 매혹적인 설치 작품을 선보이는 '박선기' 작가와의 만남으로 탄생한 와인이다. 자연의 순환적 의미를 작품에 담고 있으며 불, 에너지의 시작과 끝이 이어지는 사이클을 표현하고 있다. 주로 나무를 태운 숯을 공중에 매달아 다양한 이미지로 표현하는 작품을 선보이고 있다. 바롤로에는 박선기 작가의 '마이애미' 드로잉이 표현되었다. '미켈레 끼아를로 바롤로 DOCG 아트레이블'은 미켈레 끼아를로에서 한국을 위해 특별히 선보인 와인으로 투명한 색감을 가졌지만 구조감이 뚜렷한 진한 타닌감을 가지고 있다. 5~10년의 병 숙성을 거치면서 촘촘하게 레이어드 된 타닌이 와인에 잘 녹아 들어 이내 부드럽고 우아한 맛을 내는 와인이 탄생했다.",Italian Barolo,Barolo DOCG(DOP)
"미켈레 끼아를로, 모스카토 다스티 카넬리 P 니볼레","Michele Chiarlo, Moscato d'Asti DOCG Canelli P Nivole",https://www.wine21.com/13_search/wine_view.html?Idx=175427&lq=LIST,미켈레 끼아를로  Michele Chiarlo,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),모스카토 비앙코  (Moscato Bianco),,,5~6 %,6~8 ℃,,금양인터내셔날,3/5,2/5,2/5,1/5,"모과, 살구, 복숭아, 열대과일, 말린살구, 꽃","채소, 샐러드, 과일, 견과류, 치즈, 체다, 모짜렐라","* ""모스카토 위의 모스카토, 니볼레의 상위 레인지로 “P”는 Primo (이탈리아어로 최초의, 첫번째의) 에서 유래하였으며, No.1 프리미엄 모스카토의 첫 번째 프로젝트라는 의미를 담고 있다. 미켈레 끼아를로 와이너리의 기원이 모스카토인만큼, 모스카토에 대한 각별한 사랑과 애정을 담아 가장 퀄리티 좋은 과실과 최상급 원액만을 선별하여 만들어지며 1년에 단 한번 매월 10월에만 만나볼 수 있는 매우 희소성 높은 프리미엄 모스카토이다. 일반적인 모스카토와는 차별화되는 스탠실 바틀을 사용하여 고급스러움을 더 배가했다.“카넬리” 는 2021년 신규 승급 된 아스티 내 소지역으로써, 프리미엄 모스카토를 생산하고자 하는 생산자들이 지속적으로 주시하는 핫한 생산지 중 하나이다.""",Italian Moscato d'Asti,Moscato d’Asti DOCG(DOP)
"블루 넌, 로제 에디션 24K","Blue Nun, Rose Edition 24K",https://www.wine21.com/13_search/wine_view.html?Idx=175428&lq=LIST,블루넌  Blue nun,독일(Germany) / 라인헤센(Rheinhessen),트레비아노 (Trebbiano) / 아이렌 (Airen) / 카베르네 소비뇽 (Cabernet Sauvignon),,,11~12 %,6~8 ℃,,금양인터내셔날,3/5,2/5,2/5,1/5,"딸기, 크랜베리, 열대과일","떡볶이, 매운요리, 매운음식, 샐러드, 말린과일, 말린과일, 과일, 디저트, 케이크",,,
"블루 넌, 로제 에디션","Blue Nun, Sparkling Rose Edition",https://www.wine21.com/13_search/wine_view.html?Idx=175429&lq=LIST,블루넌  Blue nun,독일(Germany) / 라인헤센(Rheinhessen),트레비아노 (Trebbiano) / 아이렌 (Airen) / 카베르네 소비뇽 (Cabernet Sauvignon),,,11~12 %,6~8 ℃,,금양인터내셔날,3/5,2/5,2/5,1/5,"딸기, 크랜베리, 열대과일","양념치킨, 닭강정, 떡볶이, 파스타, 피자, 매운요리, 매운음식, 과일, 타르트, 디저트, 케이크, 초콜릿",,,
"블루 넌, 블루 에디션","Blue Nun, Sparkling Blue Edition",https://www.wine21.com/13_search/wine_view.html?Idx=175430&lq=LIST,블루넌  Blue nun,독일(Germany) / 라인헤센(Rheinhessen),트레비아노 (Trebbiano),,,11~12 %,6~8 ℃,,금양인터내셔날,3/5,2/5,2/5,1/5,"복숭아, 열대과일, 망고","양념치킨, 닭강정, 피자, 매운요리, 매운음식, 튀김, 샐러드, 복숭아, 과일, 타르트, 디저트, 케이크",,,
"블루 넌, 핑크 100주년 에디션","Blue Nun, Pink 100 Years Edition",https://www.wine21.com/13_search/wine_view.html?Idx=175431&lq=LIST,블루넌  Blue nun,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling) / 모스카토  (Moscato ) / 샤르도네 (Chardonnay) / 아이렌 (Airen) / 카베르네 소비뇽 (Cabernet Sauvignon),,,11~12 %,10~12 ℃,,금양인터내셔날,3/5,2/5,3/5,1/5,"레드커런트, 딸기, 크랜베리, 열대과일","베이컨, 양념치킨, 닭강정, 떡볶이, 피자, 매운요리, 매운음식, 튀김, 샐러드, 과일, 리코타, 타르트, 디저트, 케이크, 초콜릿",,,
"블루 넌, 화이트 100주년 에디션","Blue Nun, White 100 Years Edition",https://www.wine21.com/13_search/wine_view.html?Idx=175432&lq=LIST,블루넌  Blue nun,독일(Germany) / 라인헤센(Rheinhessen),아이렌 (Airen) / 리슬링 (Riesling) / 모스카토  (Moscato ) / 샤르도네 (Chardonnay),,,11~12 %,10~12 ℃,,금양인터내셔날,3/5,2/5,2/5,1/5,"살구, 복숭아, 열대과일, 흰꽃, 꽃","양념치킨, 닭강정, 떡볶이, 매운요리, 매운음식, 샐러드, 복숭아, 과일, 치즈, 리코타, 타르트, 디저트, 초콜릿",,,
"산 페드로, 1865 타유 피노누아","San Pedro, 1865 Tayu Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=175433&lq=LIST,산 페드로  San Pedro,칠레(Chile),피노 누아 (Pinot Noir),,,12~13 %,12~14 ℃,,금양인터내셔날,1/5,3/5,3/5,2/5,"체리, 라스베리, 허브, 민트, 버섯","로스트비프, 소고기, 붉은육류, 바비큐, 양갈비, 건육, 훈제오리, 찜닭, 보쌈, 불고기, 족발, 한식, 파스타, 서양요리, 피자, 치즈, 체다, 고다, 테트드무안, 모짜렐라","* 2020 빈티지 - Descorchados 96, Tim Atkin 92",Chilean Pinot Noir,
"산 페드로, 1865 20주년 리미티드 셀렉션","San Pedro, 1865 20th Anniversary Limited Selection",https://www.wine21.com/13_search/wine_view.html?Idx=175434&lq=LIST,산 페드로  San Pedro,칠레(Chile) / 센트럴 밸리(Central Valley),시라/쉬라즈 (Syrah/Shiraz) / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 말벡 (Malbec) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 베르도 (Petit Verdot),,,14~15 %,16~18 ℃,,금양인터내셔날,1/5,3/5,4/5,4/5,"레드커런트, 블랙체리, 체리, 자두, 육두구, 바닐라, 코코아","소고기, 스테이크, 육류요리, 양갈비, 건육, 불고기, 양념갈비, 갈비찜, 동그랑땡, 라자냐, 토마토파스타, 서양요리, 치즈, 체다, 고다, 그라노파다노, 페타",,,
"칸티나 디오메데, 라마 디 피에트라 네로 디 트로이아","Cantina Diomede, Lama Di Pietra Nero di Troia",https://www.wine21.com/13_search/wine_view.html?Idx=175435&lq=LIST,칸티나 디오메데  Cantina Diomede,이탈리아(Italy) / 뿔리아(Puglia),네로 디 트로이아  (Nero di Troia) 100%,스테인리스 스틸 탱크 침용 발효,10개월 숙성,,16~18 ℃,"미트 소스 파스타, 붉은 육류, 향신료가 가미된 로스티드 미트, 숙성 치즈와 잘 어울린다.",(주)와이넬,1/5,3/5,3/5,3/5,"라스베리, 체리","미트, 로스트비프, 육류요리, 파스타, 치즈",,Southern Italy Red,
"샤또 뒤 떼르뜨르, 로랑제리에 뒤 떼르뜨르","Chateau du Tertre, L'Orangerie du Tertre",https://www.wine21.com/13_search/wine_view.html?Idx=175436&lq=LIST,"샤또 뒤 떼르뜨르  Chateau du Tertre, Grand Cru Classe,5th Cru",프랑스(France) / 보르도(Bordeaux) / 마고(Margaux),카베르네 소비뇽 (Cabernet Sauvignon) 57% / 메를로 (Merlot) 19% / 쁘띠 베르도 (Petit Verdot) 14% / 카베르네 프랑 (Cabernet Franc) 10%,,,,12~14 ℃,"샐러드나 샤퀴테리 같은 차가운 스타터, 구운 고기, 초콜릿 케이크와 잘 어울린다.",(주)와이넬,1/5,3/5,4/5,3/5,"체리, 블루베리, 자두, 정향, 다크초콜릿, 가죽","로스트비프, 육회, 스테이크, 건육, 샐러드, 자두, 케이크",,Bordeaux Margaux,Margaux AOC(AOP)
"샤또 라스꽁브, 르 오메독 드 라스꽁브","Chateau Lascombes, Le Haut-Medoc de Lascombes",https://www.wine21.com/13_search/wine_view.html?Idx=175437&lq=LIST,"샤또 라스꽁브  Chateau Lascombes, Grand Cru Classe,2nd Cru",프랑스(France) / 보르도(Bordeaux) / 오-메독(Haut-Medoc),카베르네 소비뇽 (Cabernet Sauvignon) 63% / 메를로 (Merlot) 21% / 쁘띠 베르도 (Petit Verdot) 16%,,16~18개월 동안 나무로 만든 큰 배럴 통에서 숙성,,12~14 ℃,"바비큐 요리한 육류, 아시아 스타일의 요리, 수제버거와 잘 어울린다.",(주)와이넬,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 정향","육류요리, 바비큐, 불고기, 갈비찜, 햄버거",,Bordeaux Red,Haut-Médoc AOC(AOP)
"라셰또, 크레망 드 루아르 브륏","LaCheteau, Cremant de Loire Brut",https://www.wine21.com/13_search/wine_view.html?Idx=175438&lq=LIST,GCF 그룹  GCF Group,프랑스(France) / 루아르(Loire) / 앙쥬-소뮈르(Anjou-Saumur) / 앙주(Anjou),슈냉 블랑 (Chenin Blanc) 70% / 카베르네 프랑 (Cabernet Franc) 20% / 샤르도네 (Chardonnay) 10%,섬세한 버블을 생성하기 위해 전통적인 샴페인 양조방식에 따라 병입 후 2차 발효,15도가 유지되는 셀러에서 Sur Latte 상태로 최소 18개월 간 숙성,,6~8 ℃,"아페리티프, 에피타이저, 치즈 토스트, 디저트와 잘 어울린다.",(주)와이넬,1/5,4/5,2/5,1/5,"청사과, 시트러스, 레몬, 열대과일","아페리티프, 샐러드, 치즈, 디저트",,French Crémant,Crémant de Loire AOC(AOP)
"알베르 비쇼, 본 프리미에 크뤼 끌로 레 제그로","Albert Bichot, Beaune 1er Cru Clos Les Aigrots",https://www.wine21.com/13_search/wine_view.html?Idx=175439&lq=LIST,알베르 비쇼  Albert Bichot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,금양인터내셔날,1/5,3/5,3/5,2/5,"레드커런트, 체리, 딸기, 라스베리, 바닐라, 정향, 감초, 건초","송아지, 로스트비프, 까르파치오, 소고기, 바비큐, 훈제오리, 불고기, 족발, 동그랑땡, 크림파스타, 피자, 버섯, 치즈, 파르미지아노, 그라노파다노, 콩테",,Burgundy Côte de Beaune Red,"Beaune 1er Cru AOC(AOP), 'Les Aigrots'"
도멘 롱 드파키 샤블리 그랑 크뤼 레 프르즈,"Domaine Long Depaquit, Chablis Grand Cru Les Preuses",https://www.wine21.com/13_search/wine_view.html?Idx=175440&lq=LIST,도멘 롱 드파키  Domaine Long Depaquit,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis),샤르도네 (Chardonnay),,,12~13 %,10~12 ℃,,금양인터내셔날,1/5,4/5,2/5,1/5,"시트러스, 레몬, 흰꽃, 꽃, 미네랄, 부싯돌, 허브","바비큐, 삼겹살, 초밥, 생선회, 사시미, 해산물, 랍스터, 킹크랩, 편육, 수육, 오일파스타, 탕수육, 동남아요리, 아시아요리, 튀김, 샐러드, 과일, 견과류, 치즈, 리코타",* 2021 빈티지 - Burghound 91-93점- 2020 빈티지 -  2022 Decanter 은메달(91점) / Burghound 92-94점,Burgundy Chablis,"Chablis Grand Cru AOC(AOP), 'Preuses'"
"라셰또, 로제 당주","LaCheteau, Rose d'Anjou",https://www.wine21.com/13_search/wine_view.html?Idx=175441&lq=LIST,GCF 그룹  GCF Group,프랑스(France) / 루아르(Loire) / 앙쥬-소뮈르(Anjou-Saumur) / 앙주(Anjou),카베르네 프랑 (Cabernet Franc) 60% / 그롤로 누아 (Grolleau Noir) 20% / 가메이 (Gamay) 20%,,15일간 17도의 온도에서 스테인리스 스틸 탱크 숙성,,8~10 ℃,"아페리티프, 절인 고기, 각종 샐러드, 딸기 타르트와 잘 어울린다.",(주)와이넬,3/5,4/5,1/5,2/5,"체리, 딸기, 살구, 복숭아","육포, 아페리티프, 샐러드, 복숭아, 딸기, 타르트",당도 - 15g/L,,Rosé d’Anjou AOC(AOP)
