와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,기타정보,등급
"도멘 데 그랑드 에스페랑스, 르 로와 솔레이","Domaine des Grandes Esperances, Le Roi Soleil",https://www.wine21.com/13_search/wine_view.html?Idx=170658&lq=LIST,도멘 데 그랑드 에스페랑스  Domaine des Grandes Esperances,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine),소비뇽 블랑 (Sauvignon Blanc) 100%,,평균수령 30년의 포도나무에서 손수확한 포도는 12시간 동안 skin contact한 뒤 발효,1~2회 사용한 old barrells 및 테라코타 jars에서 8개월간 숙성 후 출시,8~10 ℃,"치킨, 훈제연어, 참치, 샐러드, 숙성 치즈, 피자, 파스타 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"복숭아, 아카시아, 미네랄, 바닐라","치킨, 샐러드, 복숭아, 치즈",,,
"도멘 데 그랑드 에스페랑스, 라 넹 블랑쉬","Domaine des Grandes Esperances, La Naine Blanche",https://www.wine21.com/13_search/wine_view.html?Idx=170659&lq=LIST,도멘 데 그랑드 에스페랑스  Domaine des Grandes Esperances,프랑스(France) / 루아르(Loire),샤르도네 (Chardonnay),Upper Loire White,"점토질, 부싯돌 토양에서 수확한 포도를  섬세하게 압착한 후 발효",1~2회 사용한 old barrells 및 테라코타 jars에서 8개월간 숙성 후 출시,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,3/5,1/5,1/5,"모과, 시트러스, 미네랄","해산물, 수육, 탕수육, 치즈",,,
"풍크툼, 템프라니요","Punctum, Sin Sulfitos Anadidos Barrel Aged Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=170660&lq=LIST,풍크툼 바이오다이나믹 패밀리 빈야즈  Punctum Biodynamic Family Vineyards,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),Spanish Red,아황산염이 무첨가,,16~18 ℃,"스페인 또는 지중해 요리 및 타파스 , 양유로 만든 스페인의 비가열 압착 치즈인 만체고 치즈 , 초리조와 잘 어울린다.",,1/5,3/5,3/5,3/5,"바닐라, 코코아","초리조, 치즈",13~14 %,,
"엘 타니노, 1752 가르나차 틴토네라","El Tanino, 1752 Garnacha Tintonera",https://www.wine21.com/13_search/wine_view.html?Idx=170661&lq=LIST,엘 타니노  El Tanino,스페인(Spain) / 알만사(Almansa),가르나차 틴토레라  (Garnacha Tintorera),Spanish Red,50년 수령의 올드바인,12개월 프렌치 오크,16~18 ℃,"스테이크, 하몽, 블루치즈와 잘 어울린다.",,1/5,3/5,3/5,3/5,"바닐라, 토스트","스테이크, 하몽",15~16 %,*Asia Wine Trophy 2022 – Gold*Korea Wine Challenge 2020/2022 - Gold*International Wine Challenge 2019 - Gold,
오스틴 호프 리저브 카베르네 소비뇽,Austin Hope Reserve Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=170662&lq=LIST,호프 패밀리 와인  Hope Family Wines,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Californian Cabernet Sauvignon,"오스틴 호프 리저브는 각 포도밭 구획별 수확한 포도를 개별로 소량 발효, 발효 후 탄닌과 안토시아닌 성분을 지속적으로 분석하고 테이스팅 후 마쎄라시옹 기간을 결정",각 배럴의 와인을 블렌딩한 후 75%는 new French Oak에서 숙성 과정을 거친다. 이 후 최상의 상태의 와인 100%를 new French Oak에 6개월의 추가 숙성 후 병입,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,블루베리,"양갈비, 치즈",15~16 %,*2019 Vin - Cellar Tracker : 92 / 100*2018 Vin – Cellar Tracker : 90 / 100*2017 Vin – Cellar Tracker : 94 / 100,
"메종 카스텔, 카베르네 소비뇽","Maison Castel, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=170663&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),카베르네 소비뇽 (Cabernet Sauvignon),Languedoc-Roussillon Red,,,16~18 ℃,"소고기 라자냐와 같은 소고기 요리 또는 소스와 함께 요리한 돼지고기, 양고기 요리와 숙성된 치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,바닐라,"소고기, 양고기, 라자냐, 치즈",13~14 %,*Berlin Wine Trophy - Gold,
"메종 카스텔, 샤도네이","Maison Castel, Chardonnay Blanc VDF",https://www.wine21.com/13_search/wine_view.html?Idx=170664&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 꼬뜨 드 가스꼬뉴(Côtes de Gascogne),샤르도네 (Chardonnay),,,3~4개월의 숙성,8~10 ℃,"시금치를 곁들인 대구 구이 요리와 같은 생선, 해산물 요리 외 닭고기와 같은 백색육어류 요리와 잘 어울린다.",,1/5,3/5,3/5,3/5,"감귤, 오크","닭고기, 해산물",12~13 %,*Berlin Wine Trophy: Gold*OIV Patronage: Gold,
"메종 카스텔, 게부르츠트라미너","Maison Castel, Gewurtzramnier Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170665&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),게뷔르츠트라미너 (Gewurztraminer),Languedoc-Roussillon Grenache,스테인리스 스틸 탱크 발효,,8~10 ℃,"훈제 연어와 같은 스파이시한 요리, 왕새우를 곁들인 리조토 등 해산물 요리와 잘 어울린다.",,1/5,3/5,2/5,1/5,"복숭아, 리치","연어, 리조토",12~13 %,,
"메종 카스텔, 그르나쉬 미디엄 스위트","Maison Castel, Grenache Medium Sweet Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=170666&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 (Grenache),Languedoc-Roussillon Red,,,16~18 ℃,돼지고기 요리 및 다크 초코릿과 커피 퐁당과 같은 달콤한 디저트와 잘 어울린다.,,3/5,3/5,3/5,3/5,딸기,디저트,12~13 %,,
"메종 카스텔, 메를로 로제","Maison Castel, Merlot Rose",https://www.wine21.com/13_search/wine_view.html?Idx=170667&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),메를로 (Merlot),Languedoc-Roussillon Rosé,저온에서 직접 압착,,12~14 ℃,"오리 콩피 전어 샐러드와 같은 그릴드 요리, 샐러드 등 이국적인 요리와 잘 어울린다.",,1/5,3/5,2/5,2/5,꽃,샐러드,12~13 %,,
"메종 카스텔, 메를로","Maison Castel, Merlot Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=170668&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),메를로 (Merlot),Languedoc-Roussillon Red,,,16~18 ℃,"샬롯을 곁들인 소고기 치마살 스테이크와 같은 소고기 요리, 바비큐 요리 외 샤퀴트리 가공식품 및 연질치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,,"바비큐, 치즈",13~14 %,*China Wine & Spirits: Gold*Prague IWC: Gold,
"메종 카스텔, 뮈스카 미디엄 스위트","Maison Castel, Muscat MEdium Sweet Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170669&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),뮈스까 (Muscat),,,,8~10 ℃,복숭아 크럼블과 같은 달콤한 디저트 및 샤퀴트리 가공식품과 잘 어울린다.,,3/5,3/5,3/5,1/5,꿀,"복숭아, 디저트",12~13 %,,
"메종 카스텔, 피노 누아","Maison Castel, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=170670&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),피노 누아 (Pinot Noir),Languedoc-Roussillon Red,,,14~16 ℃,"머스터드를 곁들여 오븐에서 구운 순대, 소시지 요리, 소고기, 돼지고기, 양고기와 같은 붉은 고기 요리 및 가금류 요리, 치즈와 잘 어울린다.",,1/5,3/5,3/5,2/5,,"소고기, 양고기, 가금류, 순대, 치즈",13~14 %,,
"메종 카스텔, 소비뇽 블랑","Maison Castel, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170671&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 꼬뜨 드 가스꼬뉴(Côtes de Gascogne),소비뇽 블랑 (Sauvignon Blanc),Languedoc-Roussillon White,특정 온도에서 2개월 동안 발효,,8~10 ℃,"연어 타르타르 스테이크와 같은 해산물 요리, 샐러드와 같은 야채, 생선 그릴 요리와 잘 어울린다.",,1/5,4/5,1/5,1/5,"자몽, 열대과일, 미네랄","스테이크, 연어, 해산물",13~14 %,*Prague IWC: Gold*Berlin Wine Trophy: Gold,
"메종 카스텔, 시라","Maison Castel, Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=170672&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),시라/쉬라즈 (Syrah/Shiraz),Languedoc-Roussillon Red,,,16~18 ℃,"감자와 마늘을 곁들인 양고기 스튜와 같이 소스를 이용한 고기 요리, 치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,블랙베리,"스튜, 양고기, 치즈",13~14 %,*China Wine & Spirits: Gold*Prague IWC: Gold,
"메종 카스텔, 비오니에","Maison Castel, Viognier",https://www.wine21.com/13_search/wine_view.html?Idx=170673&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),비오니에 (Viognier),Languedoc-Roussillon Viognier,,,8~10 ℃,"생선과 여러 향신료를 넣고 끓인 부야베스 등 생선 요리, 조개 요리, 백색육어류 요리 및 동양 음식과 잘 어울린다.",,1/5,3/5,1/5,1/5,"꽃, 미네랄, 버터",,13~14 %,,
"메종 카스텔, 그랑 리저브 카베르네 소비뇽","Maison Castel, Grande Reserve Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=170674&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),카베르네 소비뇽 (Cabernet Sauvignon),Languedoc-Roussillon Red,,오크 스틱으로 숙성,16~18 ℃,"꾀꼬리버섯과 함께 조리한 송아지 갈비 요리와 같은 그릴, 로스트 육류 요리 및 숙성 치즈와 잘 어울린다.",,1/5,3/5,4/5,4/5,토스트,"송아지, 버섯, 치즈",13~14 %,*Concours Des Vines: Gold*Asia Wine Trophy: Gold,
"메종 카스텔, 그랑 리저브 샤도네이","Maison Castel, Grande Reserve Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=170676&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay),Languedoc-Roussillon White,,,8~10 ℃,"생선을 밀가루와 버터를 이용해 구운 솔 뫼니에르 등의 생선 요리 및 백색육어류, 숙성 치즈와 잘 어울린다.",,1/5,3/5,2/5,1/5,"바닐라, 브리오슈, 모카",치즈,13~14 %,*Asia Wine Trophy: Gold*OIV Patronage: Gold,
"메종 카스텔, 그랑 리저브 피노 누아","Maison Castel, Grande Reserve Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=170677&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),피노 누아 (Pinot Noir),Languedoc-Roussillon Red,,,14~16 ℃,"소고기, 양파, 버섯 등을 레드와인으로 조리한 뵈프 부르기뇽 등 그릴 요리 및 지중해 요리 또는 숙성 치즈와 잘 어울린다.",,1/5,3/5,3/5,2/5,"체리, 오크","소고기, 버섯, 치즈",13~14 %,,Pays d'Oc IGP
"메종 카스텔, 그랑 리저브 시라","Maison Castel, Grande Reserve Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=170678&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),시라/쉬라즈 (Syrah/Shiraz),Languedoc-Roussillon Red,특정 기간의 침용과 추출,,16~18 ℃,로즈마리를 곁들인 양다리 구이 등의 붉은 육류 요리와 매콤한 요리 또는 초콜릿과 잘 어울린다.,,1/5,3/5,4/5,3/5,잼,초콜릿,13~14 %,*Asia Wine Trophy: Gold*OIV Patronage: Gold,
"메종 카스텔, 보르도 소비뇽 블랑","Maison Castel, Bordeaux Suavignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170680&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 보르도(Bordeaux),소비뇽 블랑 (Sauvignon Blanc),Bordeaux White,,,8~10 ℃,샤프란 크림 소스를 곁들인 가리비 요리와 같은 조개 및 생선 등의 해산물 요리와 잘 어울린다.,,1/5,3/5,1/5,1/5,감귤,해산물,12~13 %,*Prague IWC: Gold*China Wine & Spirits: Gold,
"메종 카스텔, 꼬뜨 드 프로방스 로제","Maison Castel, Cotes de Provence Rose",https://www.wine21.com/13_search/wine_view.html?Idx=170681&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 프로방스(Provence) / 꼬뜨 드 프로방스(Côtes de Provence),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache) / 쌩쏘 (Cinsault),Provence Rosé,,,12~14 ℃,노르웨이 랍스터인 스캄피 바비큐 요리와 같은 그릴 요리 또는 백색육어류 및 생선요리나 이국적인 요리와 잘 어울린다.,,1/5,3/5,2/5,2/5,감귤,"바비큐, 랍스터",12~13 %,,
"메종 카스텔, 꼬뜨 뒤 론 루즈","Maison Castel, Cotes du Rhone Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=170682&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 론(Rhone) / 꼬뜨 뒤 론(Côtes du Rhone),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache),Southern Rhône Red,,,16~18 ℃,우유에 절인 양고기 스테이크 등 붉은 고기류 요리 또는 치즈와 잘 어울린다.,,1/5,3/5,3/5,3/5,딸기,"스테이크, 양고기, 치즈",14~15 %,*Challenge International du Vin: Gold,
"메종 카스텔, 쥐랑송 블랑","Maison Castel, Jurancon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170683&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 쥐랑송(Jurancon),쁘띠 만생 (Petit Manseng),,,,8~10 ℃,"배와 채소, 식초, 향신료 등을 넣고 버무린 달콤한 인도 조미료, 처트니를 가미한 푸아그라와 같은 푸아그라 요리, 암양 우유로 만든 치즈 또는 디저트 요리와 잘 어울린다.",,1/5,3/5,1/5,1/5,배,"푸아그라, 채소, 치즈, 디저트",12~13 %,,Bordeaux Moelleux AOC(AOP)
"메종 카스텔, 랑그독 루즈","Maison Castel, Languedoc Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=170684&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache),Languedoc-Roussillon Red,,,16~18 ℃,타임 허브가 가미된 양다리 스테이크 등 소스로 조리한 붉은 고기류 요리와 라타투이 또는 양의 젖으로 만든 치즈와 잘 어울린다.,,1/5,3/5,3/5,3/5,잼,"스테이크, 치즈",13~14 %,,Languedoc AOC(AOP)
"메종 카스텔, 뮈스카데 세브르 에 멘 쉬르 리","Maison Castel, Muscadet SMSL Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170685&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 루아르(Loire),뮈스카데 (Muscadet),Loire Muscadet,,,,프랑스식 홍합탕인 물 마리니에르 등의 해산물 요리와 잘 어울린다.,,3/5,3/5,2/5,1/5,"감귤, 미네랄",해산물,12~13 %,,
"메종 카스텔, 샤블리","Maison Castel, Chablis",https://www.wine21.com/13_search/wine_view.html?Idx=170686&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis),샤르도네 (Chardonnay),Burgundy Chablis,,,8~10 ℃,"레몬을 곁들인 도미 요리 등 해산물, 샌성 요리 및 백색육어류 요리와 잘 어울린다.",,1/5,3/5,1/5,1/5,"감귤, 꽃, 미네랄",해산물,12~13 %,*Prague IWC: Gold*International Wine Challenge: 90 points,Chablis AOC(AOP)
"메종 카스텔, 샤또네프 뒤 파프","Maison Castel, Chateauneuf de Pape Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=170687&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 론(Rhone) / 샤또네프 뒤 빠쁘(Chateauneuf du Pape),그르나슈 (Grenache) / 무르베드르 (Mourvedre) / 까리냥 (Carignan/Carignane),Southern Rhône Châteauneuf-du-Pape Red,,,16~18 ℃,"꾀고리버섯을 곁들여 소금에 절인 소갈비 등의 붉은 육류 요리, 꾀고리버섯, 강한 풍미의 치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,"꽃, 오크","버섯, 치즈",14~15 %,*Decanter WWA: 95 points,Châteauneuf-du-Pape AOC(AOP)
"메종 카스텔, 메독 루즈","Maison Castel, Medoc Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=170688&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 보르도(Bordeaux) / 메독(Medoc),카베르네 소비뇽 (Cabernet Sauvignon),Bordeaux Médoc,,특정 기간 오크 숙성,16~18 ℃,머스타드 소스가 곁들여진 토끼 고기 요리 등 그릴 육류 요리 및 달콤한 초콜릿과 잘 어울린다.,,1/5,3/5,4/5,4/5,오크,초콜릿,13~14 %,*China Wine & Spirits: Gold,Médoc AOC(AOP)
"메종 카스텔, 푸이 퓌메","Maison Castel, Pouilly Fume",https://www.wine21.com/13_search/wine_view.html?Idx=170689&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 루아르(Loire),소비뇽 블랑 (Sauvignon Blanc),Upper Loire White,다양한 효모 발효를 통해 복합성을 가중,,8~10 ℃,"샤프란을 곁들인 생선 스튜 요리 등 생선, 갑각류, 조개 요리, 크림 소스를 곁들인 가금류 요리와 잘 어울린다.",,1/5,4/5,1/5,1/5,"감귤, 미네랄, 효모","스튜, 가금류",13~14 %,"*Decanter WWA: Silver, 90 points*Asia Wine Trophy: Gold",Pouilly-Fumé AOC(AOP)
"메종 카스텔, 생떼밀리옹 루즈","Maison Castel, Sant Emilion Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=170690&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹(Saint-Emilion),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot),Bordeaux Saint-Émilion,,오크 숙성,16~18 ℃,버섯을 곁들인 송아지 찹스테이크 등 소스와 함께 조리한 고기 요리 또는 초콜릿 디저트와 잘 어울린다.,,1/5,3/5,4/5,4/5,오크,버섯,13~14 %,*China Wine & Spirits: Gold,Saint-Émilion AOC(AOP)
"메종 카스텔, 세리 리미떼 꽁드리유","Maison Castel, Séries Limitées Condrieu Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170691&lq=LIST,메종 카스텔  Maison Castel,프랑스(France) / 론(Rhone) / 꽁드리유(Condrieu),비오니에 (Viognier) 100%,Northern Rhône Condrieu,"손 수확후 송이째 압착, 저온에서 침전물을 한번 걷어내어 자연 효모로 발효","15% 새 오크, 25% one 빈티지 배럴, 20% 600리터 4+ 빈티지 배럴, 40% 탱크에서 15개월동안 숙성",8~10 ℃,적양파를 곁들인 양고기로 만든 스튜인 타진 요리 외 샤퀴트리 또는 그릴 고기 요리와 잘 어울린다.,,1/5,3/5,1/5,1/5,생강,"스튜, 양고기",14~15 %,"*Decanter WWA: Platinum, 97 points",Condrieu AOC(AOP)
