포도품종,설명,당도,산도,바디,타닌,아로마,추천 음식
파세리나Passerina,파세리나(Passerina)는 이탈리아의 마르케(Marche)지역에서 발견된 매우 희귀한 화이트 토착 품종이다. 일부 블랜딩 용으로 사용되기도 한다.,2/5,3/5,2/5,1/5,"살구, 복숭아, 꿀, 흰 꽃, 세이지","애플 파이, 바닐라 아이스크림, 브루스케타, 과일 샐러드"
자메트나 크르니나Zametna Crnina,* 자메토브카(Žametovka) 참고,1/5,2/5,2/5,2/5,"체리, 라즈베리, 딸기","바베큐, 캐서롤 오픈 요리, 육류 파스타, 햄버거, 브루스케타"
젤렌Zelen,"젤렌(Zelen)은 슬로베니아 화이트 품종이다. 젤렌은 슬로베니아어로 녹색을 의미한다. 와인은 가볍고 산미가 좋으며, 허브 풍미를 강하게 낸다.",2/5,4/5,3/5,1/5,"라벤더, 로즈마리, 레몬, 차","샐러드와 그릴 피쉬, 새우 요리, 두껍게 썬 햄"
라스키 리슬링Laski Rizling,라스카 리슬링(Laski Rizling)은 Welschriesling 또는 Riesling italien blanc 이라 불리는 품종과 같은 품종으로 슬로베니아에서는 Laski Rizling으로 불린다. * 벨쉬리슬링 (Welschriesling) 참고,2/5,4/5,2/5,1/5,"꽃, 시트러스, 흰 꽃, 견과, 옐로우 애플","칠면조, 소 안심살, 프로슈토, 파르미지아노 레지아노 치즈"
산지오베제 그로쏘Sangiovese Grosso,산지오베제 그로쏘(Sangiovese Grosso)는 이탈리아 토스카나 지방에서 생산되는 산지오베제 포도품종 브루넬로(Brunello)의 동의어이다. 'Noble of Sangiovese (고귀한 산지오베제)' 란 의미를 가지고 있으며 토스카나 지방에서도 몬탈치노(Montalcino) 마을에서 생산되는 산지오베제 와인을 브루넬로 디 몬탈치노( Brunello di Montalcino) DOCG 등급의 와인으로 특화되었다. 브루넬로 디 몬탈치노 와인들은 그 우수성을,0/5,0/5,0/5,3/5,"스파이스, 허브","육류, 양고기, 가금류, 염장치즈, 하몽, 햄, 프로슈토"
마타로Mataro,마타로(Mataro)는 스페인과 지중해 지역에서 기원전 500년전 부터 재배된 포도품종이다. 다른 이름으로는 무르베드르(Mourvedre) 와 모나스트렐(Monastrell) 이라 부르기도 한다. 마타로 라는 이름은 스페인이의 카탈로니아 의 마타로 마을명 이었다. 무르베드르는 스페인의 발렌시아(Valencia) 지역의 무어비에드로(Murviedro) 란 이름에서 기인되었고 모타스트렐은 수도원 사람들 이란 의미를 지니고 있는 monasteriellu 란 리틴어에서 기인되었다. 이 모두가 카탈로니아 주변 지역이었기에 이 품종은 이러한 옹의어들을 가지고 있다.,0/5,3/5,0/5,0/5,"블루 베리, 스파이시, 허브, 흙, 자갈","스테이크, 비프 립, 구운 양고기, 블루 치즈"
뮈스까 오또넬Muscat Ottonel,뮈스까 오또넬(Muscat Ottonel)은 프랑스 루아르 지역에서 샤슬라(Chasselas)와 뮈스까 드 소뮈르 (Muscat de Saumur) 품종들을 교접하여 개발된 품종이다.,1/5,4/5,0/5,1/5,"머스캣, 아카시아, 바이올렛 오렌지 껍질","생선 요리, 해산물 요리, 굴, 아스파라거스 샐러드, 새우"
샹파뉴 블렌드Champagne Blend,,,,,,,
고데요Godello,"고데요(Godello)는 스페인 화이트 품종이다. 고데요는 발데오라스(Valdeoras)에서 가장 좋은 모습을 보이며, 리베이라 사크라(Ribeira Sacra), 리베이로(Ribeiro), 몬테레이(Monterrei)와 비에르조(Bierzo)에서 재배된다. 고데요는 풍부하고 향기로우며, 고품질에, 알바리뇨로 만든 와인보다 실키한 질감을 지닌다. 풀바디, 안정된 산미, 그리고 감귤류(신선한 라임), 약간의 스톤과일, 스파이시한 아니스과일의 향의 아로마를 지니고 있다.",1/5,3/5,3/5,1/5,"감귤, 라임, 스톤과일, 아니스","구운 고기, 베트남 음식, 푸아그라, 오믈렛, 키슈파이"
트레파트Trepat,트레파트(Trepat)는 스페인 레드 품종이다. 와인은 주로 로제 와인으로 만들어 진다.,1/5,3/5,3/5,3/5,"라즈베리, 딸기, 건초, 계피","체리 타르트, 참치 요리, 하몽 세라노"
멘시아Mencia,"멘시아(Mencia)는 스페인 북서부 레드 품종이다. 멘시아는 비에르조(Bierzo), 발데오라(Valdeorra), 리베이로(Ribeiro)지역에서 재배된다. 멘시아는 가볍고 신선한 향을 내는데, 주로 라즈베리와 블랙커런트 향을 느낄 수 있으며, 좋은 탄닌을 지닌다. 멘시아 와인은 출시 직후 즐기기 좋으며, 점차 그 시장 성공 가능성이 높아지고 있는 품종이다. 가볍고 창백하며 상대적으로 향기로운 와인",4/5,5/5,4/5,2/5,"석류, 블랙베리, 블랙 감초, 으깬 자갈","소고기 요리, 페퍼로니, 살라미"
가르나차 네그라Garnacha Negra,가르나차 네그라(Garnacha Negra)는 그르나슈(Grenache)의 동의어이다.,3/5,3/5,4/5,3/5,"말린 딸기, 구운 자두, 루비 레드 자몽, 가죽, 감초","양고기 버거, 구운 페스토 포테이토, 아귀 타진"
가르나차 펠루다Garnatxa Peluda,"가르나차 펠루다(Garnatxa Peluda)는 그르나슈(Grenache)의 클론으로 가르나차 네그라(Garnatxa Negra)보다 프레쉬하고 스파이시하다. 와인이 컬러 역시 라이트한게 특징이다. 그르나슈 누아와 비슷하다. 베리가 더 작고 껍질이 두껍고 산도도 높다. coulure, downy mildew에 덜 민감하다. Garnacha Tinta보다 당도가 낮고 알코올 도수도 낮다. 카베르네 소비뇽과 템프라니오와 블렌딩된다. * 다음과 같은 품종이다 : Gar",1/5,3/5,4/5,4/5,"로즈마리, 자두, 스파이시, 시트러스, 붉은 과일","염소 카레, 포테이토 피자, 까망베르 치즈, 육류 파스타, 치즈 버거"
도나 블랑카Dona Blanca,도나 블랑카(Doña Blanca)는 포르투갈 화이트 품종이다. 이 품종은 스페인 갈리시아(Galicia)에서도 재배된다. 이 품종은 블렌딩 혹은 주정 강화 와인에도 사용되는 데 향이 좋다.,1/5,3/5,3/5,1/5,꽃,"담치류 팬케이크, 염소 치즈 타르트, 베트남 서머 롤"
피노 네로Pinot Nero,피노 네로(Pinot Nero)는 피노 누아(Pinot Noir)와 동일한 의미의 이탈리아어이다. * 피노 누아(Pinot Noir) 참고,,,,,"크랜베리, 체리, 라즈베리, 정향, 버섯","코코뱅(Coq au vin), 타라곤(Tarragon)을 곁들인 닭고기 요리, 겨자를 곁들인 토끼 요리, 졸인 햄이나 뵈브 부르기뇽(Boeuf Bourgignon)"
라그레인Lagrein,"라그레인(Lagrein)은 이탈리아 레드 품종이다. 이 품종은 이탈리아 북동부 트레티노-알토 아디제(Trentino-Alto Adige)에서 주로 재배된다. 라그레인은 시큼한 자두 향에 풀 향과 쌉쌀한 체리 풍미, 다크 초콜릿 풍미가 스치는 진한 맛을 내지만, 타닌은 그리 강하지 않은 흥미로운 와인이 된다. 탄닌이 적어 라그레인 품종은 숙성이 덜 될 듯 하지만, 10년 이상 숙성된 라그레인의 경우 자두를 넣은 다크초콜릿같은 풍미를 내며 그 멋을 풍긴다.",2/5,3/5,3/5,3/5,"다크초콜릿, 자두, 체리, 감초","라자냐, 미트로프, 검은 콩 소스를 이용한 비프, 타진, 돼지고기 요리"
모스카토 로사Moscato Rosa,모스카토 로사(Moscato Rosa)는 이탈리아 트렌티노(Trentino)와 알토 아디제(Alto Adige) 그리고 프리울리 베네찌아(Friuli Venezia) 생산되는 로제무스카텔러(Moscatel rosé ) 이다. 진한 핑크색의 달콤한 향기를 지니고 있다. 모스카토 비앙코(Moscato Bianco)와 뮈스까 블랑 쁘띠 그랑(Buscat Blanc Petits Grains)에서 파생되어 나온 품종이다.,2/5,3/5,3/5,1/5,"베리 과일, 장미, 스파이스","체리 파이, 리코타 치즈, 딸기 파블로바"
람브루스코Lambrusco,"람브루스코(Lambrusco)는 이탈리아 레드 품종이다. 이 품종으로 만든 와인 역시 람브루스코(Lambrusco)라 부른다. 람브루스코는 수많은 변종을 지니지만, 우수한 람브루스코는 DOC등급을 받는다. 이 등급의 람브루스코는 드라이하며, 딸기 향이 달콤 쌉싸름하게 전해진다. 탄닌이 그리 많지 않은 이 람브루스코는 돼지 고기 요리를 즐겨먹는 에밀리아-로마냐(Emilia-Romagna)와 모데나(Modena)지역에서 주로 즐긴다. 상업적으로 성공한 람브루스코는 스크류캡으로 병이 마감되어 있으며, 약간의 단맛을 첨가한 잔잔한 기포가 있는 와인이다. 람브루스코에 단맛이 첨가되기 시작한 건 1970년대 와인을 미국으로 수출하기 시작하면서 부터다. 진정한 람브루스코는 DOC등급 와인이며, 당연히 값이 조금 더 비싸다.",3/5,5/5,2/5,3/5,"딸기, 체리, 보이젠베리, 루바브(장군풀), 히비스커스","크림 파스타, 페코리노나 그라나 파다노 치즈, 살루메, 뇨코 프리토(에밀리아-로마냐의 대표 음식), 달콤한 체리파이"
비앙카메Biancame,비앙카메(Biancame)는 포도에 약간 흉터가 있는 것처럼 보이는 데서 그 이름이 유래했다. 기원전 500년부터 비앙카메 재배가 이탈리아 전역에 확산되었다고 알려져 있다. 고대 로마 역사가인 타키투스(Tacitus)는 로마인이 가져온 비앙카메 와인에 카르타고 전사들이 취해서 아우스드루발레(Ausdrubale)전투에서 대패했다는 기록을 남기기도 했다.,0/5,0/5,0/5,1/5,"사과, 복숭아, 스파이스","넙치 요리, 새우 프리터, 리코타 샐러드"
부블랑Bourboulenc,"부블랑(Bourboulenc)은 프랑스 론 밸리 지역 화이트 품종이다. 이 품종은 샤또네프-뒤 빠쁘(Châteauneuf-du-Pape)와인에 블렌딩된다. 부블랑은 시트러스 향이 향수처럼 전해지며, 풍부함과 깊이를 갖는다.",1/5,4/5,3/5,1/5,"시트러스, 훈연향, 감귤류","스테이크, 가리비찜, 염소 치즈"
소비뇽 블랑 뮈스케Sauvignon Blanc Musque,소비뇽 블랑(Sauvignon Blanc)과 동일한 품종이다. * 소비뇽 블랑(Sauvignon Blanc) 참고,2/5,5/5,1/5,1/5,"구즈베리, 그린 멜론, 자몽, 백도, 패션 프루트","허브 소스를 이용한 음식, 두부, 페타 치즈, 염소젖 치즈, 타이 혹은 베트남 음식"
그뤼너 벨트리너Gruner Veltliner,"그뤼너 벨트리너(Grüner Veltliner)는 오스트리아의 대표 화이트 품종이다. 오스트리아의 포도원 면적 중 3분의 1을 차지하는 품종이 바로 그뤼너 벨트리너다. 그뤼너(Grüner)는 녹색(Green)을 의미한다. 이 품종은 오스트리아 전역에서 자라지만, 바카우(Wachau), 캄프탈(Kamptal)에서 최상의 모습을 보인다. 그뤼너 벨트리너는 리슬링 보다는 수분이 좀 더 있는 풍적황토(Loess)를 선호한다.",2/5,4/5,2/5,1/5,"노란 사과, 그린 배, 그린 콩, 처빌, 백 후추","스파이시한 동남아 요리, 샐러드, 두부, 소 안심살, 리코타나 까망베르 치즈"
모스코필레로Moschofilero,모스코필레로(Moschofilero)는 그리스의 펠로폰네소스(Peleponnese)지역 전역에 서 재배되고 있는 화이트 품종이다. 보라에 가까운 핑크빛을 띠고 있는 이 품종은 꽤 향기로우면서도 스파이시한 향과 좋은 산미를 지니고 있다.,0/5,4/5,2/5,1/5,"장미꽃, 쟈스민, 바이올렛, 제비꽃, 레몬. 시트러스, 자몽, 라임","닭고기, 구운 새우, 구운 생선"
페테아스카 알바Feteasca Alba,"페테아스카(Feteasca)는 동유럽의 아주 오래된 화이트 품종이다. 이 품종은 뮈스캇 품종과 매우 비슷하며, 복숭아 향을 지니며 편안하고 부드러운 와인이 된다. 적합한 산미, 두드러진 복숭아느낌의 아로마 를 지니며, 드라이 혹은 약간 달콤하거나 꽤 달콤할 수 있다",4/5,3/5,2/5,1/5,"스톤프루트, 복숭아, 열대과일","치킨 케밥, 살구 타진, 콜리플라워 치즈"
페테아스카 레갈라Feteasca Regala,"페테아스카 레갈라(Feteasca Regala)는 몰도바, 루마니아 등 동유럽 국가에서 재배하는 로컬 품종으로, 볏집 컬러에 시트러스 계열의 향, 스톤 프룻 향, 산도와 미네랄리티를 잘 갖춘 화이트 와인을 만든다. * Feteasca Alba(페테아스카 알바) 참고 * Feteasca Neagra(페테아스카 네아그라) 참고",3/5,2/5,2/5,1/5,"파인애플, 꽃, 청사과, 배, 마르벨루","코로네이션 치킨, 바베큐 송어, 브라트부르스트"
페테아스카 네그라Feteasca Neagra,"페테아스카 네아그라(Feteasca Neagra)는 루마니아와 몰도바에서 주로 재배되는 매우 중요한 토착 포도 품종입니다. 이 품종은 특히 적포도주 생산에 적합하며, 루마니아의 대표적인 레드 와인 중 하나를 만드는 데 사용된다. Feteasca Neagră는 수세기 동안 재배되어 온 유서 깊은 품종으로, 현대 와인 생산에서도 여전히 중요한 역할을 하고 있다.",1/5,4/5,4/5,3/5,"블랙 베리, 꽃, 스파이스, 훈연향","돼지고기 안심살, 양고기 카레, 스테이크"
사페라비Saperavi,"사페라비(Saperavi)는 조지아(Georgia)의 레드 품종이다. 사페라비는 조지아 동부 카케티(Kakheti)에서 유래했으며, 고대 품종으로 오랜 기간 조지아 와인 산업에 중요한 위치를 차지고 있다. 사페라비라는 이름은 이 품종이 자란 지역의 이름을 따랐다. 사페라비는 추운 기후에 잘 자라며, 와인은 산뜻한 붉은 과실, 부드러운 타닌을 지닌다. 청량한 느낌의 시라 와인과 비슷하다는 평가를 받는다.",1/5,5/5,5/5,5/5,"붉은 과일, 흙, 훈연향, 가죽, 감초, 초콜릿","치즈 파스타, 구운 양고기, 돼지고기 꼬치, 딱딱한 치즈, 굴과 버섯을 곁들인 라구"
아이렌Airen,"아이렌(Airen)은 스페인 중부 라만차에서 주로 재배되는 화이트 품종이다. 포도는 껍질이 두껍고 생산량이 많다. 아이렌은 연교차가 큰 기후에 잘 적응한다. 와인은 깔끔하고 신선하다. 높은 알코올, 가벼운 바디, 심플하면서 신선한 드라이 한 타입",1/5,1/5,2/5,1/5,"익은 과일향, 바나나와 시트러스 과일, 풀향","해산물, 구운 정어리, 브로콜리, 구운 치킨 가슴살, 조개류 음식"
알레아티코Aleatico,"알레아티코(Aleatico)는 이탈리아 레드 품종이다. 이탈리아 라치오, 뿔리아, 그리고 토스카나 남부, 코르시카(Corsica) 섬 등에서 재배된다. 알레아티코는 장미향이 두드러진다. 꽃향이 강하면서 굉장한 달콤함, 향신료 와 체리향의 붉은과일 맛이 특징",3/5,3/5,3/5,1/5,"장미, 블루베리, 라즈베리, 리찌","피칸 파이, 블루 치즈, 브리스킷, 그라나 파다노 치즈"
프라파토Frappato,"프라파토(Frappato)는 이탈리아 시실리의 레드 품종이다. 체리색깔 과 라이트 바디, 낮은 타닌 과 풍부한 아로마를 가짐",1/5,2/5,2/5,2/5,"딸기, 꽃, 정향, 담배, 석류","양고기, 브리스킷, 트라이팁, 구운 초리조"
카타라또Catarratto,가타라또 (Gatarratto)는 이탈리아의 시칠리아에서 생산되는 화이트 토착 품종이다. 시칠리아 전역에 걸쳐 널리 심어져 있는 품종이다. 카타라또는 풀바디의 레몬의 아로마가 느껴지는 와인을 만든다.,0/5,0/5,4/5,1/5,"열대 과일, 꿀, 아몬드, 꽃","해산물, 흰 살 고기, 구운 채소, 염소 치즈"
노지올라Nosiola,"노지올라(Nosiola)는 이탈리아 트렌티노-알토 아디제(Trentino-Alto Adige)의 화이트 품종이다. 노지올라는 그 향이 중성적이지만, 맛은 보다 진한 점이 특징이다. 달콤한 와인인 빈 산토(Vin Santo)와인을 만드는 데 말린 노지올라가 사용된다.",3/5,4/5,0/5,1/5,"헤이즐넛, 살구, 복숭아, 파인애플","블루 치즈, 버섯 크림 리조또, 스시, 오일 파스타"
프리울라노Friulano,"프리울라노(Friulano)는 이탈리아 프리울리 지역에서 생산되는 화이트 품종이다. 활발한 산미, 그리고 약간의 미네랄 느낌, 과일류의 아로마를 지니고 있다.",2/5,3/5,3/5,1/5,"아몬드, 허브, 구즈베리, 청사과, 블랙커런트","해산물 리조또, 염소 치즈, 가리비, 구운 연어나 송어"
