와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,숙성,양조
"브래스 택스, 까베르네 소비뇽","Brass Tacks, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168579&lq=LIST,와인 스팟스  Wine Spots,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Californian Cabernet Sauvignon,California AVA,13~14 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.","*Sommelier Challenge 90점 & Gold Medal, Wilfred Wong 90점",한산더블유앤비,1/5,3/5,4/5,2/5,"체리, 건포도, 오크","육류요리, 바비큐, 양갈비, 불고기, 치즈",,
"다크 하비스트, 샤도네이","Dark Harvest, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168580&lq=LIST,다크 하비스트  Dark Harvest,미국(U.S.A) / 워싱턴(Washington State),샤르도네 (Chardonnay) 86% / 피노 그리지오 (Pinot Grigio) 7% / 기타 품종 (Other Grapes) 7%,Washington State Chardonnay,,13~14 %,10~12 ℃,"연어, 샐러드 , 치즈 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,"바닐라, 브리오슈","연어, 샐러드, 치즈",,
"다크 하비스트, 까베르네 소비뇽","Dark Harvest, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168581&lq=LIST,다크 하비스트  Dark Harvest,미국(U.S.A) / 워싱턴(Washington State),카베르네 소비뇽 (Cabernet Sauvignon) 93% / 시라/쉬라즈 (Syrah/Shiraz) 3% / 카베르네 프랑 (Cabernet Franc) 2% / 메를로 (Merlot) 1% / 쁘띠 베르도 (Petit Verdot) 1%,Washington State Cabernet Sauvignon,,13~14 %,16~18 ℃,"구운 고기 , 갈비찜 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"체리, 자두, 바닐라",갈비찜,,
"덕혼, 디코이 소비뇽 블랑","Duckhorn, Decoy Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=168582&lq=LIST,덕혼 와인 컴퍼니   Duckhorn Wine Company,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),소비뇽 블랑 (Sauvignon Blanc),,,13~14 %,10~12 ℃,"각종 샐러드, 핑거 푸드, 피크닉 샌드위치나 김밥, 씬 크러스트 피자 등과 잘 어울린다.","*2017 Robert Whitley, Wine Review 90점",나라셀라,1/5,4/5,2/5,1/5,"복숭아, 멜론, 먼지","피자, 샐러드",,
베이 오브 파이어 피노 누아,Bay of Fires Pinot Noir,https://www.wine21.com/13_search/wine_view.html?Idx=168583&lq=LIST,베이 오브 파이어  Bay of Fires,호주(Australia) / 태즈매니아(Tasmania),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,오리 요리와 잘 어울린다.,*2018 빈티지: James Halliday 99 Gold Medal,,1/5,4/5,3/5,3/5,"딸기, 꽃, 아니스, 오크",,,
베이 오브 파이어 리슬링,Bay of Fires Riesling,https://www.wine21.com/13_search/wine_view.html?Idx=168584&lq=LIST,베이 오브 파이어  Bay of Fires,호주(Australia) / 태즈매니아(Tasmania),리슬링 (Riesling),,,12~13 %,8~10 ℃,"라임과 고수, 약간의 가염 버터를 곁들인 신선한 가재 등과 잘 어울린다.","*2020 빈티지: 2021 Tasmanian Wine Show, Best 2020 Vintage Wine (Finest Trophy)*2018 빈티지: James Halliday 96점 Gold Medal",,1/5,5/5,3/5,1/5,"배, 사향",,,
"하우스 오브 아라스, 이제이 카 레이트 디스골지드","House of Arras, E.J Carr Late Disgorged",https://www.wine21.com/13_search/wine_view.html?Idx=168585&lq=LIST,하우스 오브 아라스  House of Arras,호주(Australia) / 태즈매니아(Tasmania),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),,,13~14 %,6~8 ℃,"신선한 해산물 요리, 아시안 스파이스를 곁들인 신선한 요리 등과 잘 어울린다.","*2021 James Halliday BEST SPARKLING WINE, 99점 Gold Medal*2019 James Halliday Wine Companion Awards Top 100",,1/5,5/5,2/5,1/5,,해산물,,
"하우스 오브 아라스, 그랑 빈티지","House of Arras, Grand Vintage",https://www.wine21.com/13_search/wine_view.html?Idx=168586&lq=LIST,하우스 오브 아라스  House of Arras,호주(Australia) / 태즈매니아(Tasmania),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),,,12~13 %,6~8 ℃,"신선한 해산물 요리, 아시안 스파이스를 곁들인 신선한 요리 등과 잘 어울린다.","*James Halliday 96점 Gold Medal*2018 Sydney Royal Wine Show: 'Best Sparkling Trophy'*2017 Sydney, Melbourne, Adelaide, Brisbane, Perth Royal Wine Shows: 'Best Sparkling Trophy'",,1/5,5/5,2/5,1/5,자몽,해산물,,
"하우스 오브 아라스, 브륏 엘리트","House of Arras, Brut Elite",https://www.wine21.com/13_search/wine_view.html?Idx=168587&lq=LIST,하우스 오브 아라스  House of Arras,호주(Australia) / 태즈매니아(Tasmania),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay) / 피노 뮈니에 (Pinot Meunier),,,13~14 %,6~8 ℃,"신선한 해산물 요리, 가금류 요리 등과 잘 어울린다.","*James Halliday 95점 Gold Medal, IWC 91점 Silver Medal*Champagne & Sparkling Wine World Championships 2019*Champagne & Sparkling Wine World Championships 2020*Tasmanian Wine Show TROPHY (BEST SPARKLING WINE)",,1/5,5/5,2/5,1/5,"배, 리치, 브리오슈, 오크","가금류, 해산물",,
"하우스 오브 아라스, 블랑 드 블랑","House of Arras, Blanc de Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=168588&lq=LIST,하우스 오브 아라스  House of Arras,호주(Australia) / 태즈매니아(Tasmania),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier),,,12~13 %,6~8 ℃,"신선한 해산물 요리, 가벼운 카나페 등과 잘 어울린다.",*2020 Champagne & Sparkling Wine World Wine Championships Silver Medal*James Halliday 94점 Silver Medal,,1/5,5/5,2/5,1/5,"페이스트리, 요거트",해산물,,
토마스 하디 카베르네 소비뇽,Thomas Hardy Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=168589&lq=LIST,하디스  Hardys,호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),카베르네 소비뇽 (Cabernet Sauvignon),,,13~14 %,16~18 ℃,"드라이 에이징한 와규, 바짝 구운 그뤼에르 치즈 버거, 토마토 소스의 버섯 피자, 양고기 스테이트, 립아이 스테이크 등과 잘 어울린다.","*James Halliday 97점 Gold medal, 2018 Decanter World Wine Awards Silver medal",,1/5,3/5,5/5,4/5,"자두, 민트, 오크","스테이크, 양고기, 피자, 버섯, 자두",,
아일린 하디 샤르도네,Eileen Hardy Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=168590&lq=LIST,하디스  Hardys,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,"새우튀김, 흰 생선과 함께 구운 샬롯, 치킨, 살짝 데친 연어와 버터리한 소스 등과 잘 어울린다.",*Decanter World Wine Awards 92점 / Ned Goodwin(MS) 96점,,1/5,4/5,2/5,1/5,"레몬, 오크","치킨, 연어, 새우",,
"하디스, 스탬프 카베르네 메를로","Hardy's, Stamp Cabernet Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168592&lq=LIST,하디스  Hardys,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 말벡 (Malbec),,,13~14 %,16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,"자두, 오크","소고기, 자두",,
"하디스, 스탬프 샤르도네 세미용","Hardy's, Stamp Chardonnay Semillon",https://www.wine21.com/13_search/wine_view.html?Idx=168593&lq=LIST,하디스  Hardys,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),샤르도네 (Chardonnay) / 세미용 (Semillon),,,13~14 %,10~12 ℃,"치킨, 돼지고기, 크리미한 파스타, 스파이시한 해산물 요리, 아시안 요리 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,"백도, 열대과일, 오크, 효모","치킨, 해산물, 파스타",,
세일럼 와인 컴퍼니 피노누아,Salem Wine Company Pinot Noir,https://www.wine21.com/13_search/wine_view.html?Idx=168594&lq=LIST,이브닝 랜드  Evening Land Vineyards,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley) / 에오라-아미티 힐즈(Eola-Amity Hills),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,,1/5,4/5,3/5,3/5,"배, 바닐라, 오크, 효모","파스타, 버섯, 치즈",,
"마일즈 프롬 노웨어, 카베르네 멜롯","Miles from Nowhere, Cabernet Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168595&lq=LIST,마일즈 프롬 노웨어  Miles from Nowhere,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,,14~15 %,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 한국음식 등과 잘 어울린다.",*5 Star Winery - 2014 Halliday Wine Companion,와인투유코리아,1/5,3/5,5/5,4/5,"배, 허브","바비큐, 양갈비, 파스타, 치즈",,
"퓨리티, 오렌지 크러쉬 카보","Purity, Orange Crush Carbo",https://www.wine21.com/13_search/wine_view.html?Idx=168596&lq=LIST,퓨리티 와인  Purity Wine,미국(U.S.A) / 캘리포니아(California),게뷔르츠트라미너 (Gewurztraminer) / 비오니에 (Viognier),,,12~13 %,10~12 ℃,"스시, 회, 새우, 다양한 치즈, 아시아요리, 동남아요리, 건육, 피자, 파스타 등과 잘 어울린다.",,와인투유코리아,1/5,4/5,2/5,1/5,"오렌지, 꽃, 바닐라, 허브, 효모","건육, 스시, 새우, 치즈",,
"퓨리티, 마이 해피 플레이스","Purity, My Happy Place",https://www.wine21.com/13_search/wine_view.html?Idx=168597&lq=LIST,퓨리티 와인  Purity Wine,미국(U.S.A) / 캘리포니아(California),소비뇽 블랑 (Sauvignon Blanc),,,12~13 %,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,와인투유코리아,1/5,4/5,2/5,1/5,사과,,,
"브루어 클리프턴, 아신 피노 누아","Brewer-Clifton, Acin Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168598&lq=LIST,브루어 클리프턴  Brewer-Clifton,미국(U.S.A) / 캘리포니아(California) / 산타 바바라 카운티(Santa Barbara County) / 산타 리타 힐스(Santa Rita Hills),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",*Robert Parker 91점*Wine Spectator 91점,,1/5,4/5,3/5,3/5,"블랙베리, 가죽","파스타, 버섯, 치즈",,
"페렌, 소노마 코스트 피노 누아","Ferren, Sonoma Coast Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168599&lq=LIST,페렌 와인즈  Ferren Wines,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir),Californian Pinot Noir,,13~14 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",* 2018 빈티지 - Jeb Dunnuck 96점* 미슐랭 3스타 레스토랑 French Laundry 리스팅 와이너리,와인투유코리아,1/5,4/5,3/5,3/5,"체리, 딸기, 꽃, 미네랄, 바닐라, 연기, 송로버섯, 젖은흙, 젖은낙엽","로스트비프, 까르파치오, 바비큐, 건육, 오리고기, 오리로스, 연어, 참치, 파스타, 버섯, 치즈",20%의 new French Oak에서 18개월간 숙성.,
"페렌, 란셀 크릭 빈야드 샤도네이","Ferren, Lancel Creek Vineyard Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168600&lq=LIST,페렌 와인즈  Ferren Wines,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),샤르도네 (Chardonnay),Californian Chardonnay,Sonoma Coast AVA,13~14 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",* 2016 빈티지: Jeb Dunnuck 99점* 미슐랭 3스타 레스토랑 French Laundry 리스팅 와인,와인투유코리아,1/5,4/5,3/5,1/5,"배, 사과, 시트러스, 라임, 레몬, 아카시아, 미네랄, 허브, 헤이즐넛, 아몬드","바비큐, 건육, 닭고기, 오리로스, 가금류, 치킨, 해산물, 수육, 탕수육, 치즈","35%의 new French Oak에서 12개월, 스테인리스 스틸에서 6개월의 숙성.",
"페렌, 소노마 코스트 샤도네이","Ferren, Sonoma Coast Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168601&lq=LIST,페렌 와인즈  Ferren Wines,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),샤르도네 (Chardonnay),Californian Chardonnay,Sonoma Coast AVA,13~14 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",*2017 빈티지: Jeb Dunnuck 95점,와인투유코리아,1/5,4/5,3/5,1/5,"모과, 배, 서양배, 사과, 시트러스, 열대과일, 흰꽃, 꽃, 미네랄, 바닐라, 허브, 민트, 아몬드","바비큐, 돼지고기, 건육, 닭고기, 오리로스, 치킨, 생선구이, 연어, 참치, 장어구이, 해산물, 수육, 파스타, 오일파스타, 중국요리, 탕수육, 치즈, 그라노파다노, 모짜렐라","20% New French Oak Barrel에서 12개월간 숙성, 스테인리스 스틸에서 6개월의 숙성.",
"듀몰, 와일드로즈 이스테이트 피노누아","DuMOL, Wildrose Estate Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168602&lq=LIST,듀몰  DuMOL,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),피노 누아 (Pinot Noir),,,14~15 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.","*Wine Advocate 96점, Jeb Dunnuck 94+점",와인투유코리아,1/5,4/5,3/5,3/5,체리,"파스타, 버섯, 치즈",,
카스티요 데 엔수에뇨 레드 블렌드,Castillo de Ensueno Red Blend,https://www.wine21.com/13_search/wine_view.html?Idx=168603&lq=LIST,보데가스 타구아 타구아  Bodegas Tagua Tagua,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,,13~14 %,16~18 ℃,"블고기, 양념갈비, 로스트비프, 바비큐,그릴요리, 파스타, 탕수육, 한국음식 과 잘 어울린다.",,오지노와인,1/5,3/5,3/5,3/5,자두,"바비큐, 파스타, 탕수육, 자두",,
"샤또 푸에슈오, 아르갈리 블랑","Chateau Puech-Haut, Argali Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=168604&lq=LIST,샤또 푸에슈오  Chateau Puech-Haut,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),베르멘티노 (Vermentino) / 소비뇽 블랑 (Sauvignon Blanc) / 뮈스까 (Muscat),,,12~13 %,8~10 ℃,"조개류 등의 다양한 해산물, 아시안 스타일 요리, 염소젖 치즈 등과 잘 어울린다.",*2019 빈티지: Jeb Dunnuck 91점,(주)와이넬,1/5,4/5,2/5,1/5,"시트러스, 꽃","해산물, 치즈",,압착(Direct pressing)을 거쳐 12-15°C 의 저온 스테인레스 스틸에서 발효
바이 크리스탈 와인 컬렉션 까바 브뤼 나뚜르,By Crystal Wine Collection Cava Brut Nature,https://www.wine21.com/13_search/wine_view.html?Idx=168605&lq=LIST,뱅 그라우  Vins Grau,스페인(Spain) / 플라 데 바제스(Pla de Bages),마카베오 (Macabeo) / 자렐로 (Xarel.lo) / 빠레야다 (Parellada),,,,6~8 ℃,"식전주로 적합하며, 생선 및 해산물 그리고 디저트와 잘 어울린다.",,크리스탈와인,1/5,4/5,2/5,1/5,,"해산물, 식전주, 디저트",,
"막상 따스, 에세조","Marchand Tawse, Echezeaux",https://www.wine21.com/13_search/wine_view.html?Idx=168606&lq=LIST,막상 따스  Marchand Tawse,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2018 빈티지: Burghound 89-92점, Vinous 90-91점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
"막상 따스, 샤름 샹베르땅","Marchand Tawse, Charmes Chambertin",https://www.wine21.com/13_search/wine_view.html?Idx=168607&lq=LIST,막상 따스  Marchand Tawse,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",*2018 빈티지: Burghound 90-93점*2013 빈티지: Vinous 92-94점,크리스탈와인,1/5,4/5,3/5,3/5,,,,
"막상 따스, 꼬르통","Marchand Tawse, Corton",https://www.wine21.com/13_search/wine_view.html?Idx=168608&lq=LIST,막상 따스  Marchand Tawse,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2018 빈티지: Burghound 89-92점, Vinous 89-91점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
"막상 따스, 즈브레 샹베르땅 엉 샴","Marchand Tawse, Gevrey Chambertin En Champs",https://www.wine21.com/13_search/wine_view.html?Idx=168609&lq=LIST,막상 따스  Marchand Tawse,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2018 빈티지: Burghound 89-92점, Vinous 90-91점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
"막상 따스, 샹볼 뮈지니","Marchand Tawse, Chambolle Musigny",https://www.wine21.com/13_search/wine_view.html?Idx=168610&lq=LIST,막상 따스  Marchand Tawse,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2018 빈티지: Burghound 87-89점, Vinous 90-92점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
"막상 따스, 뉘 쌩 조르주 1er 레 꼬르베 파제","Marchand Tawse, Nuits St Georges 1er Les Corvees Pagets",https://www.wine21.com/13_search/wine_view.html?Idx=168611&lq=LIST,막상 따스  Marchand Tawse,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 뉘-생-조르쥬(Nuits-St-Georges),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2018 빈티지: Burghound 88-91점, Vinous 88-90점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
"막상 따스, 뉘 쌩 조르주 1er 라 리시몬","Marchand Tawse, Nuits St Georges 1er La Richemone",https://www.wine21.com/13_search/wine_view.html?Idx=168612&lq=LIST,막상 따스  Marchand Tawse,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 뉘-생-조르쥬(Nuits-St-Georges),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,크리스탈와인,1/5,4/5,3/5,3/5,,,,
