와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,알코올,기타정보,숙성,양조
"트라피체, 핀카 라보르데 리미티드 에디션","Trapiche, Finca Laborde Limited Edition",https://www.wine21.com/13_search/wine_view.html?Idx=162427&lq=LIST,트라피체  Trapiche,아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"블랙베리, 미네랄","양갈비, 치즈",,,*2012 빈티지: Wine Advocate 92점,,
"트라피체, 핀카 라스 피에드라스 리미티드 에디션","Trapiche, Finca Las Piedras Limited Edition",https://www.wine21.com/13_search/wine_view.html?Idx=162428&lq=LIST,트라피체  Trapiche,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec) 100%,Argentinian Malbec,16~18 ℃,"양갈비, 양꼬치, 스테이크, 갈비, 불고기, 한국음식, 중국요리와 잘 어울린다.",금양인터내셔날,1/5,4/5,5/5,4/5,"딸기, 바닐라","스테이크, 중국요리",,14~15 %,*2013 빈티지: James suckling 92점*2012 빈티지: 2016 Korea Wine Challenge Gold*2010 빈티지: 2012 Korea Wine Challenge Best Red Wine Trophy*2009 빈티지: Wine Etnhusiast Top 100 28위 95점,,
"트라피체, 폰드 데 카브 그랑 리제르바 블랜드","Trapiche, Fond de Cave Gran Reserva Blend",https://www.wine21.com/13_search/wine_view.html?Idx=162429&lq=LIST,트라피체  Trapiche,아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),말벡 (Malbec) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 따나 (Tannat),,15~18 ℃,"스테이크, 육류, 치즈 등과 잘 어울린다.",,1/5,4/5,5/5,4/5,"꽃, 허브, 오크","스테이크, 치즈",,,,,
"트라피체, 멜로디아스 와인메이커스 셀렉션 까베르네 소비뇽","Trapiche, Melodias Winemaker's Selection Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162430&lq=LIST,트라피체  Trapiche,아르헨티나(Argentina) / 멘도사(Mendoza),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,,"스테이크, 치즈",,,*2014 빈티지: Sommelier Wine Awards 2016 동메달,,
"트라피체, 싱글 빈야드 말벡 '암브로시아'","Trapiche, Single Vineyard Malbec 'Ambrosia'",https://www.wine21.com/13_search/wine_view.html?Idx=162431&lq=LIST,트라피체  Trapiche,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec) 100%,,16~18 ℃,"양갈비, 양꼬치, 스테이크, 갈비, 불고기, 한국음식, 중국요리와 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,4/5,,"스테이크, 중국요리",,,,,
"트라피체, 싱글 빈야드 말벡 '콜레토'","Trapiche, Single Vineyard Malbec 'Coletto'",https://www.wine21.com/13_search/wine_view.html?Idx=162432&lq=LIST,트라피체  Trapiche,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec) 100%,Argentinian Malbec,16~18 ℃,"양고기, 스테이크, 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,4/5,"미네랄, 감초, 오크, 흑연","스테이크, 양고기, 치즈",,14.5~15.5 %,"*2014 빈티지: James Suckling 96점*2011 빈티지: Wine Spectator 93점, Wine Enthusiast 93점, 2015 Korea Wine Challenge 은메달",,
"스프링 밸리 빈야드, 유리아","Spring Valley Vineyard, Uriah",https://www.wine21.com/13_search/wine_view.html?Idx=162433&lq=LIST,스프링 밸리 빈야드  Spring Valley Vineyard,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley) / 왈라 왈라 밸리(Walla Walla Valley),메를로 (Merlot) 45% / 카베르네 프랑 (Cabernet Franc) 34% / 쁘띠 베르도 (Petit Verdot) 8% / 말벡 (Malbec) 8%,Washington State Red Blend,16~18 ℃,"스테이크, 육류, 치즈 등과 잘 어울린다.",하이트진로,1/5,3/5,5/5,3/5,"체리, 석류, 허브, 오크","스테이크, 치즈",Walla Walla Valley AVA,14~15 %,* 2010 빈티지: Wine SpectatorTop 100 Wine* 2006 빈티지: Wine SpectatorTop 100 Wine* 2003 빈티지: Wine SpectatorTop 100 Wine* 2001 빈티지: Wine SpectatorTop 100 Wine* 2000 빈티지: Wine SpectatorTop 100 Wine,100% 프렌치 오크(50% 뉴 오크)에서 18개월간 숙성,"손으로 직접 펀칭 다운을 하고 공기를 통한 펌핑 오버만을 통해 과한 추출 억제, 작은 스테인리스 스틸 탱크에서 발효 진행"
"비냐 코보스, 마르키오리 이스테이트 말벡","Vina cobos, Marchiori Estate Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=162434&lq=LIST,비냐 코보스  Vina Cobos,아르헨티나(Argentina) / 멘도사(Mendoza) / 루한 데 쿠요(lujan de cuyo),말벡 (Malbec) 100%,,16~18 ℃,"스테이크, 치즈등과 잘 어울린다.",국순당,1/5,3/5,5/5,4/5,"블랙체리, 블랙베리, 무화과, 자두, 제비꽃, 바닐라, 아몬드, 오크","스테이크, 자두, 치즈",,14~15 %,,,
"비냐 코보스, 브라마레 레본 이스테이트 말벡","Vina Cobos, Bramare Rebon Estate Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=162435&lq=LIST,비냐 코보스  Vina Cobos,아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),말벡 (Malbec) 100%,Argentinian Malbec,16~18 ℃,"스테이크, 치즈",국순당,1/5,3/5,5/5,4/5,"체리, 자두","스테이크, 치즈",,14~15 %,,18개월간 프렌치 오크통 숙성 (55% 새 오크통),
"산 마르짜노, 빈도로 프리미티보 디 만두리아","San Marzano, Vindoro Primitivo di Manduria",https://www.wine21.com/13_search/wine_view.html?Idx=162436&lq=LIST,산 마르짜노  San Marzano [Feudi di San Marzano],이탈리아(Italy) / 뿔리아(Puglia) / 만두리아(Manduria),프리미티보 (Primitivo) 100%,Southern Italy Red,16~18 ℃,"양고기, 야생고기, 숙성한 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,4/5,4/5,"체리, 자두, 바닐라, 코코아","양고기, 치즈",Primitivo di Manduria DOC(DOP),14~15 %,,,
보샤뗄 까베르네 소비뇽,Beauchatel Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=162438&lq=LIST,이봉모  Yvon Mau,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Languedoc-Roussillon Red,16~18 ℃,"스테이크, 치즈",금양인터내셔날,1/5,3/5,2/5,3/5,"블랙베리, 코코아","스테이크, 치즈",,12~13 %,,,
보샤뗄 메를로,Beauchatel Merlot,https://www.wine21.com/13_search/wine_view.html?Idx=162439&lq=LIST,이봉모  Yvon Mau,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),메를로 (Merlot) 100%,Languedoc-Roussillon Red,16~18 ℃,"돼지고기, 바비큐 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,2/5,3/5,"블랙베리, 후추",,,12~13 %,,,
보샤뗄 소비뇽,Beauchatel Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=162440&lq=LIST,이봉모  Yvon Mau,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),소비뇽 블랑 (Sauvignon Blanc) 100%,Languedoc-Roussillon White,8~10 ℃,"샐러드, 해산물 등과 잘 어울린다.",금양인터내셔날,1/5,5/5,2/5,1/5,"파인애플, 아몬드","해산물, 샐러드",,10~11 %,,,
"깔베, 트루아젤","Calvet,Troisl",https://www.wine21.com/13_search/wine_view.html?Idx=162441&lq=LIST,깔베  Calvet,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),Bordeaux Red,16~18 ℃,"육류, 치즈등과 잘 어울린다.",금양인터내셔날,1/5,3/5,2/5,3/5,"체리, 리치, 잼",치즈,Bordeaux AOC(AOP),13~14 %,,,
트루아젤 리제르바 까베르네 소비뇽,TroisL Reserva Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=162442&lq=LIST,콘차이 토로  Concha y Toro,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Chilean Cabernet Sauvignon,16~18 ℃,"육류, 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,4/5,"체리, 토스트, 오크, 흙",치즈,,15 %,,,
판티니 콜렉션 비앙코,Fantini Collection Bianco,https://www.wine21.com/13_search/wine_view.html?Idx=162443&lq=LIST,판티니 그룹  Fantini Group,이탈리아(Italy) / 아브루쪼(Abruzzo),소비뇽 블랑 (Sauvignon Blanc) / 트라미너 (Traminer) / 페코리노 (Pecorino) / 코코촐라 (Cococciola),,8~10 ℃,"다양한 아페리티프, 해산물, 신선한 생서요리, 염소젖 치즈 등과 잘 어울린다.",(주)와이넬,1/5,3/5,3/5,1/5,,"해산물, 아페리티프, 치즈",,12 %,* 2017 KWC 트로피 화이트 수상 (화이트 전체 1위),,
판티니 콜렉션 로쏘,Fantini Collection Rosso,https://www.wine21.com/13_search/wine_view.html?Idx=162444&lq=LIST,판티니 그룹  Fantini Group,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano) / 칠리에졸로 (Ciliegiolo) / 산지오베제 (Sangiovese),,16~18 ℃,"피자, 파스타 등 전형적인 이탈리안 요리들과 가장 잘 어울린다.",(주)와이넬,1/5,3/5,3/5,3/5,바닐라,,,13~14 %,* 2017 KWC - Bronze Medal,,
"판티니, 에디찌오네 콜렉션","Fantini, Edizione Collection",https://www.wine21.com/13_search/wine_view.html?Idx=162445&lq=LIST,판티니 그룹  Fantini Group,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano) 33% / 프리미티보 (Primitivo) 30% / 산지오베제 (Sangiovese) 25% / 네그로아마로 (Negroamaro) 7% / 말바시아 네라 (Malvasia nera) 5%,,16~18 ℃,"육류, 스테이크 등과 잘 어울린다.",(주)와이넬,1/5,4/5,5/5,5/5,"잼, 바닐라",스테이크,,14~15 %,"*2014-2020 Luca Maroni 99점(7년연속99점만점)*2015 BERLINER WEIN TROPHY - Gold Medal*2014 AWC VIENNA- GOLD MEDAL+TROPHY(""BEST RED BLEND 2014“)*2014/2013 코리아 와인 챌린지(KWC) - Gold Medal*2011 IWSC GOLD Best In Class 획득!*2012 International Wine Challenge London – Trophy*이태리 와인 전문지 '루카마로니'에서 2005년부터 4년 연속 1위 와인 선정",,
장 루이 샤브 셀렉시옹 쌩 조셉 오프뤼,Jean Louis Chave Selection Saint Joseph Offerus,https://www.wine21.com/13_search/wine_view.html?Idx=162446&lq=LIST,도멘 쟝 루이 샤브  Domaine Jean Louis Chave,프랑스(France) / 론(Rhone) / 생-죠셉(Saint-Joseph),시라/쉬라즈 (Syrah/Shiraz) 100%,Northern Rhône Red,16~18 ℃,"육류, 치즈",크리스탈와인,1/5,3/5,4/5,4/5,배,치즈,,,"* J.L. Chave Selection는 Domaine J.L. Chave의 서브 브랜드로 St. Joseph Offerus는 일부 포도를 구매하여 와인을 생산하는 Maison의 개념을 지니고 있지만 J.L. Chave St. Joseph과 동일한 양조기법을 사용하여 최상의 떼루아를 표현하도록 노력하고 있다.Offerus는 화강암질로 이루어진 St. Joseph의 두 팍셀에서 재배되는 포도를 사용한다. 남쪽에 위치한 팍셀은 Jean-Louis의 소유지로 블렌딩 시 80%를 차지하며 이곳의 토양은 와인에 타닌감, 구조감, 깊이감을 부여한다. 좀 더 북쪽에 위치한 팍셀은 와인에 우아하고 순수한 성격을 더해주는 토양이 특징으로 Jean-Louis의 소유지는 아니지만 그가 포도재배에 관여하고 있다.오프뤼(Offerus)는 기독교 성인 Saint-Christopher(Offerus)에게서 영감을 받아 붙여진 이름이다. 그가 진정한 성인이 되기 위해 강이 가까이 위치해 있는 언덕에 오른 적이 있는데 쌩 조셉 빈야드의 지형과 유사하여 이러한 이름을 짓게 되었다고 한다.","18 months in 600L old oak demi-muids  / 10~20% of new oak, 1-5 years used oak","Destemming  / Indigenous yeasts  / Malolactic fermentation in cement vat, stainless steel tank, used oak barrel (depending on the vintage)"
"장 루이 샤브, 셀렉시옹 크로즈 에르미타주 실렌느","Jean Louis Chave, Selection Crozes Hermitage Silene",https://www.wine21.com/13_search/wine_view.html?Idx=162447&lq=LIST,도멘 쟝 루이 샤브  Domaine Jean Louis Chave,프랑스(France) / 론(Rhone) / 크로즈-에르미타주(Crozes-Hermitage),시라/쉬라즈 (Syrah/Shiraz) 100%,Northern Rhône Red,16~18 ℃,"육류, 치즈",크리스탈와인,1/5,4/5,4/5,3/5,"배, 오크, 효모",치즈,,,"* Jean-Louis Chave Selection는 Domaine Jean-Louis Chave의 서브 브랜드로 일부 포도를 구매하여 와인을 생산하는 Maison의 개념을 지니고 있지만 동일한 양조기법을 사용하여 최상의 떼루아를 표현하도록 노력하고 있다. 퇴적층으로 이루어진 대부분의 Crozes 와인들과 달리, 화강암질로 이루어진 Crozes의 경사지에서 재배되는 포도를 사용한다. Jean-Louis는 양조시 화강암 토양이 주는 구조감과 Syrah 품종의 과일 캐릭터의 균형을 추구하고 있다. 와인을 생산하는 데 사용되는 포도의 50%는 Domaine Jean-Louis Chave가 소유한 Crozes의 한 팍셀에서 재배된다. 천연효모를 사용해 1차 발효를 진행하며 2차 발효는 오크통에서 15-18개월 동안 진행한다.Silene(실렌느)는 고대 그리스 로마 신화에 등장하는 와인의 신 디오니소스(Dionysus - 바쿠스(Bacchus))의 대부모 실렌누스(Silenus)에서 따온 이름이다.","18 months in French oak  /  10~20% of new oak, 1-5 years used oak",Destemming  / Indigenous yeasts  /  Malolactic fermentation in used oak barrel
"장 루이 샤브, 셀렉시옹 에르미타주 파르코네","Jean Louis Chave, Selection Hermitage Farconnet",https://www.wine21.com/13_search/wine_view.html?Idx=162448&lq=LIST,도멘 쟝 루이 샤브  Domaine Jean Louis Chave,프랑스(France) / 론(Rhone) / 에르미타주(Hermitage),시라/쉬라즈 (Syrah/Shiraz) 100%,Northern Rhône Red,16~18 ℃,"육류, 치즈 등과 잘 어울린다.",크리스탈와인,1/5,4/5,4/5,4/5,배,치즈,,,"* Jean-Louis Chave Selection는 Domaine Jean-Louis Chave의 서브 브랜드로 일부 포도를 구매하여 와인을 생산하는 Maison의 개념을 지니고 있지만 동일한 양조기법을 사용하여 최상의 떼루아를 표현하도록 노력하고 있다. Farconnet는 Domaine Jean-Louis Chave의 심장이라 불리우는 Bessards 팍셀을 구입한 Jean-Louis Chave의 증조부의 이름을 딴 와인이다. Hermitage 언덕의 서로 다른 토양으로 이루어진 세 팍셀에서 재배된 포도를 사용하는데 블렌딩 시 가장 높은 비율을 차지하는 팍셀은 자갈이 많은 충적토로 와인에 Spice 노트를 더해주며, 점토질-석회질로 이루어진 토양은 섬세함을 부여한다. 빙하에 의해 굴러온 강가의 돌이 많은 토양은 피니시에 구조감을 더해주어 균형감이 뛰어난 와인이다.","24 months in French oak  / 10~20% of new oak, 1-5 years used oak","Destemming  / Indigenous yeasts  / Malolactic fermentation in cement vat, stainless steel tank, used oak barrel (depending on the vintage)"
"장 루이 샤브, 셀렉시옹 에르미타주 블랑쉬","J.L.Chave, Selection Hermitage Blanche",https://www.wine21.com/13_search/wine_view.html?Idx=162449&lq=LIST,도멘 쟝 루이 샤브  Domaine Jean Louis Chave,프랑스(France) / 론(Rhone) / 에르미타주(Hermitage),마르산느 (Marsanne) 100%,Northern Rhône White,10~12 ℃,"해산물, 샐러드",크리스탈와인,1/5,3/5,3/5,1/5,배,"해산물, 샐러드",Hermitage AOC(AOP),,"* Jean-Louis Chave Selection는 Domaine Jean-Louis Chave의 서브 브랜드로 일부 포도를 구매하여 와인을 생산하는 Maison의 개념을 지니고 있지만 동일한 양조기법을 사용하여 최상의 떼루아를 표현하려 노력하고 있다.Hermitage 언덕 가장 높은 곳에 위치한 Maison Blanche라는 곳에서 재배한 포도를 사용한다. 와인에 핵과류나 꽃 아로마를 더해주는 비옥한 퇴적 토양으로 이루어져 있으며, 철 성분이 풍부해 퇴적층이 쉽게 침식되지 않도록 하여 화이트 와인을 생산하기에 적합하다. 숙성 잠재력은 10년이며 어린 빈티지도 마시기 좋은 점이 특징이다.블랑쉬(Blanche)는 프랑스 국왕 루이 8세와 결혼한 스페인 출신의 여왕 블랑쉬 꺄스티(Blanche of Castile)에서 따온 이름이다. 블랑쉬 꺄스티 여왕은 에르미따쥬 떼루아에 포도나무를 심어도 된다고 허락해준 역사적인 인물이다.","18~24 months in French oak  / 10~20% of new oak, 1-5 years used oak","Destemming  /  Indigenous yeasts  /  Malolactic fermentation in cement vat, stainless steel tank, used oak barrel (depending on the vintage)"
크루즈 로릭 샤르도네,Rorick Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=162450&lq=LIST,크루즈 와인  Cruse Wine,미국(U.S.A) / 캘리포니아(California) / 노스 코스트(North Coast),샤르도네 (Chardonnay) 100%,Californian Chardonnay,6~8 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",크리스탈와인,1/5,4/5,3/5,1/5,배,"바비큐, 수육, 탕수육, 치즈",California AVA,,,,
울트라마린 블랑 드 블랑,Ultramarine Blanc de Blancs,https://www.wine21.com/13_search/wine_view.html?Idx=162451&lq=LIST,크루즈 와인  Cruse Wine,미국(U.S.A) / 캘리포니아(California) / 노스 코스트(North Coast),샤르도네 (Chardonnay) 100%,Californian Sparkling,8~10 ℃,"해산물, 샐러드",크리스탈와인,1/5,5/5,2/5,1/5,배,"해산물, 샐러드",California AVA,,,,
"앙리 지로, 블랑 드 블랑 브뤼","Henri Giraud, Blanc de Blancs Brut",https://www.wine21.com/13_search/wine_view.html?Idx=162452&lq=LIST,샹파뉴 앙리 지로  Champagne Henri Giraud,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,French Champagne,8~10 ℃,"해산물, 샐러드",크리스탈와인,1/5,5/5,2/5,1/5,,"해산물, 샐러드",,,,Oak from Argonne Forest  /  Tonnellerie Jérôme Viard,"Alcoholic, malolactic fermentation in oak barrel  /  12 months in new oak barrel with full lees"
"앙리 지로, 꼬또 샹쁘누아 블랑","Henri Giraud, Coteaux Champenois Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=162453&lq=LIST,샹파뉴 앙리 지로  Champagne Henri Giraud,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,,8~10 ℃,"샐러드, 해산물",크리스탈와인,1/5,5/5,3/5,1/5,,"해산물, 샐러드",,,"* Henri Giraud Coteaux Champenois Blanc은 스틸 와인이 드문 샴페인 지역에서 생산되는 몇 안 되는 스틸 와인 중 하나이다. 프랑스 중부에 위치한 Saint Palais 숲의 오크를 사용하였다. 2006 빈티지부터 생산을 시작하였으며, Ay 지역의 La Croix Courcelle에서 생산된 포도를 사용한다. 생산량은 일 년에 2,000병 내외이다.",12 months in new oak barrel with full lees(Oak from Saint Palais Forest / Tonnellerie Jérôme Viard ),"Alcoholic, malolactic fermentation in oak barrel"
"앙리 지로, 에스쁘리 나뚜르 브뤼","Henri Giraud, Esprit Nature Brut",https://www.wine21.com/13_search/wine_view.html?Idx=162454&lq=LIST,샹파뉴 앙리 지로  Champagne Henri Giraud,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 80% / 샤르도네 (Chardonnay) 20%,French Champagne,8~10 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",크리스탈와인,1/5,5/5,3/5,1/5,리치,"스시, 샐러드, 과일, 치즈, 디저트",,,* 엔트리급인 Esprit Nature는 Henri Giraud의 클래식한 스타일을 담은 와인이다. Esprit는 5세기 동안 이어져 내려온 와이너리의 유서 깊은 '정신'이라는 의미를 지니고 있다. 레이블의 나무는 전통적으로 오크통 제작에 사용하는 Argonne 숲의 나무를 형상화한 것이다.기존 Esprit de Giraud에서 Esprit Nature로 리뉴얼되면서 Pinot Noir의 블렌딩 비율이 10% 높아져 더 리치하고 마시기 편해졌다. 수확량이 제한된 플롯에서 선별된 최상의 포도를 사용해 유기농 방식으로 생산된다.후면 레이블에 보이는 OK 사인은 잔여 살충제에 대한 염려 없이 안심하고 마실 수 있다는 표시이며 QR 코드를 연결하면 자세한 분석 자료를 읽어볼 수 있다,"20% new oak  /  Min 24 months with lees(Argonne oak, Tonnellerie Jérôme Viard)","Alcoholic, malolactic fermentation in oak barrel"
