와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,추천음식
"카디날, 칼라단","Cardinale, Caladan",https://www.wine21.com/13_search/wine_view.html?Idx=174094&lq=LIST,카디날  Cardinale,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot),,Napa Valley AVA,,20개월간 오크통 숙성 (75% 뉴 프렌치 오크통),16~18 ℃,,국순당,1/5,4/5,3/5,2/5,"블랙커런트, 블랙체리, 블랙베리, 바닐라, 감초, 삼나무, 오크","로스트비프, 소고기, 육회, 양꼬치, 양고기, 불고기, 양념갈비, 갈비찜, 순대, 피자, 치즈, 브리, 에푸아쓰, 로크포르",,
"샴페인 무슈 호스톰, 트레디션","Champange M. Hostomme, Tradition",https://www.wine21.com/13_search/wine_view.html?Idx=174095&lq=LIST,샴페인 무슈 호스톰  Champange M. Hostomme,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier),French Champagne,Champagne AOC(AOP),,"최소 24개월 병숙성, 데고르주망 후 3개월 안정화. 도사주 8g/L.",8~10 ℃,,국순당,1/5,4/5,3/5,1/5,"서양배, 감귤, 바나나, 자스민, 생강, 아니스, 시나몬, 페이스트리","건육, 초밥, 생선회, 해산물, 랍스터, 편육, 만두, 오일파스타, 서양요리, 아시아요리, 식전주, 샐러드, 치즈, 크림치즈, 콩테",,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다."
"샴페인 무슈 호스톰, 블랑 드 블랑 그랑크뤼 밀레짐","Champange M. Hostomme, Blanc de Blancs Grand Cru Millesime",https://www.wine21.com/13_search/wine_view.html?Idx=174096&lq=LIST,샴페인 무슈 호스톰  Champange M. Hostomme,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),,,,,10~12 ℃,,국순당,1/5,5/5,2/5,1/5,"살구, 서양배, 시트러스, 자스민, 흰꽃, 미네랄, 브리오슈, 아몬드, 커피, 꿀","스시, 초밥, 생선회, 해산물, 랍스터, 킹크랩, 오일파스타, 중국요리, 아시아요리, 식전주, 과일, 견과류, 치즈, 크림치즈, 콩테",,
"샴페인 무슈 호스톰, 에이치 08","Champange M. Hostomme, H 08",https://www.wine21.com/13_search/wine_view.html?Idx=174097&lq=LIST,샴페인 무슈 호스톰  Champange M. Hostomme,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),French Champagne,Champagne AOC(AOP),,"12년 병숙성, 데고르주망 후 6개월간 안정화.",10~12 ℃,,국순당,1/5,5/5,2/5,1/5,"복숭아, 서양배, 감귤, 리치, 흰꽃, 미네랄, 브리오슈, 아몬드","건육, 초밥, 생선회, 해산물, 랍스터, 오일파스타, 아시아요리, 식전주, 치즈, 크림치즈, 콩테",,
"샴페인 무슈 호스톰, 엠 08","Champange M. Hostomme, M 08",https://www.wine21.com/13_search/wine_view.html?Idx=174098&lq=LIST,샴페인 무슈 호스톰  Champange M. Hostomme,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),French Champagne,Champagne AOC(AOP),,"12년 병숙성, 데고르주망 후 6개월간 안정화.",10~12 ℃,,국순당,1/5,5/5,3/5,1/5,"자몽, 레몬, 흰꽃, 미네랄, 레몬그라스, 페이스트리, 아몬드, 꿀","건육, 초밥, 생선회, 해산물, 랍스터, 오일파스타, 서양요리, 아시아요리, 식전주, 버섯, 루꼴라, 치즈, 크림치즈, 콩테",,
"크로쿠스, 라 로슈 메르","Crocus, La Roche Mere",https://www.wine21.com/13_search/wine_view.html?Idx=174099&lq=LIST,크로쿠스  Crocus,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 까오르(Cahors),말벡 (Malbec),Southwest France Malbec,Cahors AOC(AOP),,프렌치 오크통 2년 & 병 숙성 2년 진행 후 출시.,16~18 ℃,* 라 로슈 메르는 '모석=어머니 돌'이라는 의미로 최초의 토양이 생성된 180만년전의 토양에서 수확된 포도로 만든 와인임.,국순당,1/5,3/5,4/5,4/5,"블랙베리, 블루베리, 무화과, 꽃, 정향, 타바코, 삼나무, 연기","소고기, 스테이크, 양고기, 양념갈비, 갈비찜, 햄버거, 피자, 치즈, 파르미지아노, 체다, 고다, 그라노파다노",,
"크로쿠스, 아뜰리에","Crocus, L'atelier",https://www.wine21.com/13_search/wine_view.html?Idx=174100&lq=LIST,크로쿠스  Crocus,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 까오르(Cahors),말벡 (Malbec),Southwest France Malbec,Cahors AOC(AOP),,병 숙성 2년 진행후 출시,16~18 ℃,* 아뜰리에는 '장인의 작업장'이라는 의미로 3개의 떼루아의 포도를 블렌딩 하여 만든 블렌딩 와인으로 가장 편하게 마실수 있게 만든 와인임.,국순당,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 체리, 블루베리, 잼, 제비꽃, 정향, 허브, 삼나무","그릴요리, 스테이크, 돼지고기, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 햄버거, 피자, 샐러드, 견과류, 치즈, 파르미지아노, 고다, 그라노파다노",,
"세이프리드 에스테이트, 홀라쇼 쇼비뇽 블랑","Seifried Estate, Haulashore Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=174101&lq=LIST,세이프리드 에스테이트  Seifried Estate,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 넬슨(Nelson),소비뇽 블랑 (Sauvignon Blanc),New Zealand Sauvignon Blanc,,,,8~10 ℃,,,1/5,4/5,1/5,1/5,"구즈베리, 자몽, 레몬, 자스민, 흰꽃, 잔디","생선구이, 광어, 초밥, 생선회, 해산물, 새우, 비빔밥, 물냉면, 동남아요리, 아시아요리, 튀김, 샐러드",12~13 %,
"세이프리드 에스테이트, 세이프리드 쇼비뇽 블랑","Seifried Estate, Seifried Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=174102&lq=LIST,세이프리드 에스테이트  Seifried Estate,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 넬슨(Nelson),소비뇽 블랑 (Sauvignon Blanc),New Zealand Sauvignon Blanc,,,,8~10 ℃,,,1/5,4/5,1/5,1/5,"구즈베리, 자몽, 레몬, 자스민, 흰꽃, 잔디","생선구이, 광어, 초밥, 생선회, 해산물, 새우, 오일파스타, 동남아요리, 아시아요리, 튀김, 식전주, 샐러드",12~13 %,
"도멘 클레망세, 픽생 프리미에 크뤼 레 자르블레","Domaine Clemancey, Fixin 1er Cru Les Arvelets",https://www.wine21.com/13_search/wine_view.html?Idx=174103&lq=LIST,도멘 클레망세  Domaine Clemancey,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 픽상(Fixin),샤르도네 (Chardonnay),Burgundy White,"Fixin 1er Cru AOC(AOP), 'Les Arvelets'",,12~18개월간 오크통 숙성.,10~12 ℃,* 마르사네는 거의 유일하게 부르고뉴에서 로제 와인을 만드는 지역 중 하나로 부르고뉴 꼬뜨 드 뉘의 가장 북단에 위치하고 있습니다. 쥬브레와 같은 단단한 레드 와인과 과실 풍미가 뛰어난 화이트 와인이 나오는 지역입니다.픽생 또한 몸집이 큰 피노 누아가 나오는 지역으로 대부분의 와인이 숙성이 필요한 단단한 와인을 만들어 내는 지역입니다.,국순당,1/5,3/5,3/5,1/5,"서양배, 사과, 감귤, 미네랄, 버터","오리로스, 치킨, 붉은살생선, 연어, 참치, 장어, 해산물, 씨푸드, 오일파스타, 중국요리, 견과류, 치즈, 크림치즈, 모짜렐라",,
"도멘 클레망세, 픽생 프리미에 크뤼 레 제르블레 비에이 비뉴","Domaine Clemancey, Fixin 1er Cru Les Hervelets V.V",https://www.wine21.com/13_search/wine_view.html?Idx=174104&lq=LIST,도멘 클레망세  Domaine Clemancey,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 픽상(Fixin),피노 누아 (Pinot Noir),Burgundy Côte de Nuits Red,"Fixin 1er Cru AOC(AOP), 'Hervelets'",,12~18개월간 오크통 숙성,10~12 ℃,* 마르사네는 거의 유일하게 부르고뉴에서 로제와인을 만드는 지역 중 하나로 부르고뉴 꼬뜨 드 뉘의 가장 북단에 위치하고 있습니다. 쥬브레와 같은 단단한 레드 와인과 과실 풍미가 뛰어난 화이트 와인이 나오는 지역입니다.픽생 또한 몸집이 큰 피노누아가 나오는 지역으로 대부분의 와인이 숙성이 필요한 단단한 와인을 만들어 내는 지역입니다.,국순당,1/5,4/5,3/5,2/5,"체리, 딸기, 크랜베리, 라스베리, 정향, 오크","로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 장어구이, 불고기, 육포, 동그랑땡, 편육, 크림파스타, 중국요리, 치즈, 파르미지아노, 고다, 그라노파다노",,
"도멘 클레망세, 쥬브레 샹베르땡 오 꼬르베 비에이 비뉴","Domaine Clemancey, Gevrey-Chambertin Aux Corvees V.V",https://www.wine21.com/13_search/wine_view.html?Idx=174105&lq=LIST,도멘 클레망세  Domaine Clemancey,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),Burgundy Côte de Nuits Red,"Gevrey-Chambertin AOC(AOP), 'Aux Corvées'",,12~18개월간 오크통 숙성,14~16 ℃,,국순당,1/5,4/5,3/5,2/5,"체리, 라스베리, 제비꽃, 미네랄, 정향, 버섯","로스트비프, 까르파치오, 양꼬치, 건육, 오리고기, 훈제오리, 장어구이, 불고기, 육포, 동그랑땡, 편육, 크림파스타, 치즈, 파르미지아노, 그라노파다노",,
"도멘 클레망세, 픽생 엉 샴 페네보 비에이 비뉴","Domaine Clemancey, Fixin En Champs Pennebaut V.V",https://www.wine21.com/13_search/wine_view.html?Idx=174106&lq=LIST,도멘 클레망세  Domaine Clemancey,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 픽상(Fixin),피노 누아 (Pinot Noir),Burgundy Côte de Nuits Red,"Fixin AOC(AOP), 'Champs Pennebaut'",,12~18개월간 오크통 숙성.,14~16 ℃,"* 연 1,500 병 한정 생산 와인.",국순당,1/5,4/5,3/5,2/5,"블랙베리, 체리, 크랜베리, 라스베리, 자두, 제비꽃, 정향, 버섯","로스트비프, 까르파치오, 건육, 훈제오리, 장어구이, 불고기, 족발, 동그랑땡, 크림파스타, 중국요리, 치즈, 파르미지아노, 체다, 그라노파다노",,
"도멘 클레망세, 마르사네 샴 페르드리","Domaine Clemancey, Marsannay Champs Perdrix",https://www.wine21.com/13_search/wine_view.html?Idx=174107&lq=LIST,도멘 클레망세  Domaine Clemancey,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 막사네(Marsannay),피노 누아 (Pinot Noir),Burgundy Côte de Nuits Red,"Marsannay AOC(AOP), 'Champs Perdrix'",,12~18개월간 오크통 숙성,14~16 ℃,* 마르사네는 거의 유일하게 부르고뉴에서 로제와인을 만드는 지역 중 하나로 부르고뉴 꼬뜨 드 뉘의 가장 북단에 위치하고 있습니다. 쥬브레와 같은 단단한 레드 와인과 과실 풍미가 뛰어난 화이트 와인이 나오는 지역입니다.픽생 또한 몸집이 큰 피노누아가 나오는 지역으로 대부분의 와인이 숙성이 필요한 단단한 와인을 만들어 내는 지역입니다.,국순당,1/5,4/5,3/5,2/5,"블랙커런트, 체리, 딸기, 블루베리, 라스베리, 제비꽃, 미네랄, 정향, 버섯","로스트비프, 까르파치오, 육회, 건육, 훈제오리, 장어구이, 불고기, 육포, 동그랑땡, 편육, 크림파스타, 중국요리, 견과류, 치즈, 파르미지아노, 그라노파다노",,
"푸토, 오크빌","Futo, Oakville",https://www.wine21.com/13_search/wine_view.html?Idx=174108&lq=LIST,푸토  Futo,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 오크빌(Oakville),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 베르도 (Petit Verdot) / 메를로 (Merlot),Californian Bordeaux Blend,,,,16~18 ℃,"* Best Vineyards in Napa Valley:푸토가 소유한 포도밭은 오크빌 남부에 위치하여 있습니다. 이 포도밭은 3개의 다른 와이너리로 둘러쌓여 있는데, Harlan, Bond, Promontory로 전세계적으로 유명한 할란 와인과 그 자매 와인들을 만드는 포도밭 들입니다. 가장 단단한 와인이 나오기로 유명한 지역으로 소비자들에 의해 '가장 할란과 비슷한 와인' 이라 평가 받고 있습니다.* Only Exclusive for Mailing List Members:오직 Mailing List에 가입한 멤버들중에서 순차적으로 와인을 판매하던 와이너리로 2021년을 기점으로 전세계적으로 B2C가 아닌 B2B로 공급하기 시작하였습니다. 제품 별로 극소량을 생산하는 부띠끄 와인이기에 가장 찾아보기 힘든 나파 와인입니다.",국순당,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 오렌지, 라벤더, 제비꽃, 붉은꽃, 미네랄, 바닐라, 감초, 삼나무, 초콜릿, 오크","소고기, 스테이크, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 토마토파스타, 햄버거, 서양요리, 치즈, 파르미지아노, 브리, 그라노파다노, 콩테",,
"푸토, 오크빌 스택스 립","Futo, Oakville Stag's Leap",https://www.wine21.com/13_search/wine_view.html?Idx=174109&lq=LIST,푸토  Futo,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 스택스 립 디스트릭트(Stags Leap District),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 베르도 (Petit Verdot),Californian Bordeaux Blend,,,,16~18 ℃,"* Best Vineyards in Napa Valley:푸토가 소유한 포도밭은 오크빌 남부에 위치하여 있습니다. 이 포도밭은 3개의 다른 와이너리로 둘러쌓여 있는데, Harlan, Bond, Promontory로 전세계적으로 유명한 할란 와인과 그 자매 와인들을 만드는 포도밭 들입니다. 가장 단단한 와인이 나오기로 유명한 지역으로 소비자들에 의해 '가장 할란과 비슷한 와인' 이라 평가 받고 있습니다.* Only Exclusive for Mailing List Members:오직 Mailing List에 가입한 멤버들중에서 순차적으로 와인을 판매하던 와이너리로 2021년을 기점으로 전세계적으로 B2C가 아닌 B2B로 공급하기 시작하였습니다. 제품 별로 극소량을 생산하는 부띠끄 와인이기에 가장 찾아보기 힘든 나파 와인입니다.",국순당,1/5,3/5,4/5,3/5,"블랙커런트, 블랙베리, 블루베리, 자두, 제비꽃, 붉은꽃, 미네랄, 바닐라, 감초, 삼나무, 초콜릿","소고기, 스테이크, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 파스타, 토마토파스타, 햄버거, 치즈, 파르미지아노, 그라노파다노, 콩테",,
"푸토, 5500","Futo, 5500",https://www.wine21.com/13_search/wine_view.html?Idx=174110&lq=LIST,푸토  Futo,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 스택스 립 디스트릭트(Stags Leap District),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),Californian Bordeaux Blend,,,,16~18 ℃,"* Best Vineyards in Napa Valley: 푸토가 소유한 포도밭은 오크빌 남부에 위치하여 있습니다. 이 포도밭은 3개의 다른 와이너리로 둘러쌓여 있는데, Harlan, Bond, Promontory로 전세계적으로 유명한 할란 와인과 그 자매 와인들을 만드는 포도밭 들입니다. 가장 단단한 와인이 나오기로 유명한 지역으로 소비자들에 의해 '가장 할란과 비슷한 와인' 이라 평가 받고 있습니다.* Only Exclusive for Mailing List Members:오직 Mailing List에 가입한 멤버들중에서 순차적으로 와인을 판매하던 와이너리로 2021년을 기점으로 전세계적으로 B2C가 아닌 B2B로 공급하기 시작하였습니다. 제품 별로 극소량을 생산하는 부띠끄 와인이기에 가장 찾아보기 힘든 나파 와인입니다.",국순당,1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 라스베리, 제비꽃, 붉은꽃, 바닐라, 정향, 삼나무, 오크","소고기, 스테이크, 양고기, 건육, 보쌈, 불고기, 족발, 동그랑땡, 파스타, 토마토파스타, 치즈, 파르미지아노, 그라노파다노, 콩테",,
"푸토, 헬리안투스","Futo, Helianthus",https://www.wine21.com/13_search/wine_view.html?Idx=174111&lq=LIST,푸토  Futo,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),Californian Cabernet Sauvignon,,,,16~18 ℃,"* Best Vineyards in Napa Valley:푸토가 소유한 포도밭은 오크빌 남부에 위치하여 있습니다. 이 포도밭은 3개의 다른 와이너리로 둘러쌓여 있는데, Harlan, Bond, Promontory로 전세계적으로 유명한 할란 와인과 그 자매 와인들을 만드는 포도밭 들입니다. 가장 단단한 와인이 나오기로 유명한 지역으로 소비자들에 의해 '가장 할란과 비슷한 와인' 이라 평가 받고 있습니다.* Only Exclusive for Mailing List Members:오직 Mailing List에 가입한 멤버들중에서 순차적으로 와인을 판매하던 와이너리로 2021년을 기점으로 전세계적으로 B2C가 아닌 B2B로 공급하기 시작하였습니다. 제품 별로 극소량을 생산하는 부띠끄 와인이기에 가장 찾아보기 힘든 나파 와인입니다.",국순당,1/5,3/5,4/5,3/5,"블랙커런트, 블랙베리, 붉은꽃, 정향, 삼나무, 초콜릿, 오크","소고기, 스테이크, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 파스타, 햄버거, 피자, 체다, 고다, 브리, 로크포르, 콩테",,
"가브리엘 메프르, 로라스 에르미타주","Gabriel Meffre, Laurus Hermitage",https://www.wine21.com/13_search/wine_view.html?Idx=174112&lq=LIST,가브리엘 메프르  Gabriel Meffre,프랑스(France) / 론(Rhone) / 에르미타주(Hermitage),시라/쉬라즈 (Syrah/Shiraz),Northern Rhône Hermitage,Hermitage AOC(AOP),,40% 15개월 간 Lees와 함께 오크통 숙성,16~18 ℃,"* Laurus(로라스):로라스는 가브리엘 메프에서 생산하는 부띠끄 브랜드로 각각의 AOC의 클래식함을 담고, 최고의 선택된 포도밭에서 선별된 포도만을 통해 만드는 와인입니다. '론 지방의 미쉘 롤랑'이라 불리는 Philippe Cambie(필립 캄비)와 합작하여 만든 와인으로 최고의 떼루아와 양조기술이 만났다고 할수 있습니다.* Philippe Cambie (필립 캄비):필립 캄비는 과거 양조학, 포도 작황등을 공부하며 그 실력을 쌓아 Domaine Giraud의 컨설팅을 통해 유명세를 얻게 되었습니다. 이후, 론 지역에 가장 유명한 와인 메이커로써 1998년부터 샤또네프 뒤 빠쁘 지역의 다수의 와이너리들의 컨설팅을 도맡아 왔습니다. 약 20년간의 론 지방의 다양한 와이너리의 컨설팅을 통해 론 지역 와인들의 품질 상승에 많은 기여를 하였습니다.",국순당,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블루베리, 자두, 잼, 후추, 흙, 젖은흙","스튜, 소고기, 스테이크, 양갈비, 양념갈비, 갈비찜, 라자냐, 랑그르, 고다, 에멘탈, 브리, 페타, 블루치즈",,"소고기, 스테이크, 갈비찜, 양념갈비, 양갈비, 라자냐, 스튜, 크림파스타, 숙성 치즈 등과 잘 어울린다."
