와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,음용온도,추천음식,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,수입사,스타일,알코올,숙성,양조
"르 쁘띠 지미오스, 루즈 드 꼬스","Le Petit Gimios, Rouge de Causse",https://www.wine21.com/13_search/wine_view.html?Idx=173101&lq=LIST,르 쁘띠 지미오스  Le Petit Gimios,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),블렌드 (Blend ),16~18 ℃,"소고기, 돼지고기, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"블랙베리, 체리, 후추, 오크, 버섯","소고기, 돼지고기, 치즈",Languedoc AOC(AOP),,,Languedoc-Roussillon Red,,,
"니콜라 호, 빅토아르 블랑","Nicolas Reau, Victoire Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173102&lq=LIST,니콜라 호  Nicolas Reau,프랑스(France) / 루아르(Loire),슈냉 블랑 (Chenin Blanc),10~12 ℃,"해산물, 샐러드, 전채요리 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 레몬, 구아바","해산물, 샐러드, 전체요리",,,,Loire Chenin Blanc,,,
"니콜라 호, 앙팡 테리블","Nicolas Reau, L'Enfant Terrible",https://www.wine21.com/13_search/wine_view.html?Idx=173103&lq=LIST,니콜라 호  Nicolas Reau,프랑스(France) / 루아르(Loire) / 앙쥬-소뮈르(Anjou-Saumur),카베르네 프랑 (Cabernet Franc),16~18 ℃,"육류요리, 튀김, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"레드커런트, 자두, 제비꽃, 피망, 오크","육류요리, 튀김, 치즈",,,,Upper Loire Red,,,
"니콜라 호, 퐁푸아","Nicolas Reau, Pompois",https://www.wine21.com/13_search/wine_view.html?Idx=173104&lq=LIST,니콜라 호  Nicolas Reau,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc),16~18 ℃,"소고기, 돼지고기, 튀김, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"블랙커런트, 라스베리, 제비꽃, 미네랄, 피망, 오크","소고기, 돼지고기, 튀김, 치즈",,,,Upper Loire Red,,,
"니콜라 호, 알레브망 드망데","Nicolas Reau, Enlevement Demande",https://www.wine21.com/13_search/wine_view.html?Idx=173105&lq=LIST,니콜라 호  Nicolas Reau,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc),16~18 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"블랙커런트, 라스베리, 제비꽃, 미네랄, 피망, 후추, 오크, 흙","소고기, 돼지고기, 닭고기",,,,,,,
"라 쁘띠 수르, 글로불 블랑","La Petite Soeur, Globule Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173106&lq=LIST,라 쁘띠 수르  La Petite Soeur,프랑스(France) / 루아르(Loire),슈냉 블랑 (Chenin Blanc),10~12 ℃,"해산물, 샐러드, 치즈와 잘 어울린다.",1/5,4/5,3/5,1/5,"살구, 복숭아, 레몬, 꽃, 미네랄","해산물, 샐러드, 치즈",,,,Loire Chenin Blanc,,,
"라 쁘띠 수르, 레 가","La Petite Soeur, Les Gats",https://www.wine21.com/13_search/wine_view.html?Idx=173107&lq=LIST,라 쁘띠 수르  La Petite Soeur,프랑스(France) / 루아르(Loire),소비뇽 블랑 (Sauvignon Blanc),10~12 ℃,"해산물, 전채요리, 샐러드 등과 잘 어울린다.",1/5,5/5,3/5,1/5,"복숭아, 시트러스, 흰꽃, 미네랄, 피망","해산물, 전채요리, 샐러드",,,,Upper Loire White,,,
"반피, 로사 리갈 아스티","Banfi, Rosa Regale Asti",https://www.wine21.com/13_search/wine_view.html?Idx=173108&lq=LIST,반피  Banfi,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),모스카토  (Moscato ),6~8 ℃,"브리, 블루치즈, 꽁테, 건육, 과일, 타르트, 케이크, 초콜렛 등 디저트와 잘 어울린다.",3/5,2/5,3/5,1/5,"청사과, 배, 라임, 레몬, 장미, 꽃","건육, 과일, 견과류, 치즈, 디저트",,"* 세계 판매 1위 브라케토 와인 브랜드인 ""로사 리갈""의 출시 20주년을 기념하여 탄생한 ""화이트 와인 버전""의 로사 리갈.",롯데칠성음료,,7~8 %,,
"라 쁘띠 수르, 에로젠","La Petite Soeur, Erogene",https://www.wine21.com/13_search/wine_view.html?Idx=173111&lq=LIST,라 쁘띠 수르  La Petite Soeur,프랑스(France) / 루아르(Loire),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc),16~18 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,3/5,4/5,2/5,"블랙커런트, 라스베리, 말린과일, 꽃, 피망, 오크","소고기, 양고기, 닭고기",,,,Upper Loire Red,,,
"라 쁘띠 수르, 글로불 루즈","La Petite Soeur, Globule Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173112&lq=LIST,라 쁘띠 수르  La Petite Soeur,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc) / 가메이 (Gamay),16~18 ℃,"돼지고기, 닭고기, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"레드커런트, 라스베리, 말린과일, 꽃, 피망, 오크, 버섯","돼지고기, 닭고기, 치즈",,,,Upper Loire Red,,,
"레 브리소, 카락테","Le Briseau, Kharakter",https://www.wine21.com/13_search/wine_view.html?Idx=173113&lq=LIST,레 브리소  Le Briseau,프랑스(France) / 루아르(Loire),슈냉 블랑 (Chenin Blanc),10~12 ℃,"샐러드, 해산물, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"살구, 구아바, 꽃, 오크, 흙","해산물, 샐러드, 치즈",,,,Upper Loire Red,,,
"레 브리소, 파트론 블랑","Le Briseau, Patron Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173114&lq=LIST,레 브리소  Le Briseau,프랑스(France) / 루아르(Loire),슈냉 블랑 (Chenin Blanc),10~12 ℃,"해산물, 샐러드, 전채요리, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"살구, 복숭아, 구아바, 꽃, 미네랄, 오크","해산물, 전채요리, 샐러드, 복숭아, 치즈",,,,Loire Chenin Blanc,,,
"라 솔가, 요들 마스터","La Sorga, Yodel Master",https://www.wine21.com/13_search/wine_view.html?Idx=173115&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay) / 뮈스카텔 (Muscatel),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"살구, 복숭아, 시트러스, 열대과일, 꽃, 오크","샐러드, 치즈",Languedoc AOC(AOP),,,Languedoc-Roussillon White,,,
"라 솔가, 샷젠","La Sorga, Chatzen",https://www.wine21.com/13_search/wine_view.html?Idx=173116&lq=LIST,라 솔가  La Sorga,,소비뇽 블랑 (Sauvignon Blanc) / 쌩쏘 (Cinsault),10~12 ℃,"담백한 닭고기, 치즈, 해산물 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"구즈베리, 시트러스, 열대과일, 미네랄, 피망","닭고기, 해산물, 치즈",Languedoc AOC(AOP),,,Languedoc-Roussillon White,,,
"라 솔가, 겔 아이","La Sorga, Gel I",https://www.wine21.com/13_search/wine_view.html?Idx=173117&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 블랑 (Grenache Blanc),10~12 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 시트러스, 열대과일, 꽃, 미네랄","해산물, 전체요리, 치즈",Languedoc AOC(AOP),,,Languedoc-Roussillon White,,,
"라솔가, 데솔드레 블랑","La Sorga, Desordre Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173118&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay) / 모작 (Mauzac),10~12 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,4/5,1/5,"복숭아, 열대과일, 미네랄, 흙","해산물, 샐러드, 치즈",Languedoc AOC(AOP),,,Languedoc-Roussillon White,,,
"라 솔가, 제이씨","La Sorga, JC",https://www.wine21.com/13_search/wine_view.html?Idx=173119&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 블랑 (Grenache Blanc),10~12 ℃,"해산물, 샐러드, 치즈와 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 시트러스, 열대과일, 미네랄","해산물, 샐러드, 복숭아, 치즈",Languedoc AOC(AOP),,,Languedoc-Roussillon White,,,
"라 솔가, 아 프레","La Sorga, A Freux",https://www.wine21.com/13_search/wine_view.html?Idx=173120&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 블랑 (Grenache Blanc) / 마르산느 (Marsanne),10~12 ℃,"담백한 닭요리, 튀김, 갑각류 등과 잘 어울린다.",1/5,3/5,4/5,1/5,"살구, 복숭아, 말린과일, 꽃","닭고기, 랍스터, 킹크랩, 튀김",Languedoc AOC(AOP),,,Languedoc-Roussillon White,,,
"라 솔가, 메이트레 스프린터","La Sorga, Maitre Splinter",https://www.wine21.com/13_search/wine_view.html?Idx=173121&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),픽풀 (Picpoul) / 그르나슈 (Grenache),,"돼지고기, 소고기, 닭고기 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"블랙베리, 체리, 라스베리, 꽃, 후추, 오크, 흙","소고기, 돼지고기, 닭고기",Languedoc AOC(AOP),,,Languedoc-Roussillon Red,,,
"라 솔가, 라 몽타뉴 사크레","La Sorga, La Montagne Sacree",https://www.wine21.com/13_search/wine_view.html?Idx=173122&lq=LIST,라 솔가  La Sorga,,그르나슈 블랑 (Grenache Blanc) / 뮈스까 (Muscat),10~12 ℃,"해산물, 시푸드, 튀김 등과 잘 어울린다.",1/5,3/5,4/5,1/5,"살구, 시트러스, 열대과일, 꽃, 미네랄","해산물, 씨푸드, 튀김",Languedoc AOC(AOP),,,Languedoc-Roussillon White,,,
"마타싸, 큐베 알렉산드리아","Matassa,Cuvee Alexandria",https://www.wine21.com/13_search/wine_view.html?Idx=173123&lq=LIST,마타싸  Matassa,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),뮈스까 달레산드리  (Muscat d'Alexandrie ),10~12 ℃,"샐러드, 전체요리, 치즈 등과 잘 어울린다.",2/5,3/5,3/5,1/5,"살구, 복숭아, 열대과일, 꽃","전체요리, 샐러드, 복숭아, 치즈",Côtes du Roussillon AOC(AOP),,,Languedoc-Roussillon White,,,
"마타싸, 큐베 마리게리트","Matassa, Cuvee Marguerite",https://www.wine21.com/13_search/wine_view.html?Idx=173124&lq=LIST,마타싸  Matassa,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),마카베오 (Macabeo) / 뮈스까 달레산드리  (Muscat d'Alexandrie ) / 뮈스까 블랑 쁘띠 그랑 (Muscat Blanc Petits Grains),10~12 ℃,"샐러드, 전체요리, 치즈 등과 잘 어울린다.",2/5,4/5,3/5,1/5,"살구, 복숭아, 열대과일, 꽃, 미네랄","전체요리, 샐러드, 치즈",Côtes du Roussillon AOC(AOP),,,Languedoc-Roussillon White,,,
"마타싸, 뱅 드 프랑스 블랑","Matassa, VDF Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173125&lq=LIST,마타싸  Matassa,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬뜨 드 루씨용(Côtes de Roussillon),그르나슈 그리 (Grenache Gris) / 마카베오 (Macabeo),10~12 ℃,"해산물, 전체요리, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"살구, 복숭아, 열대과일, 꽃, 미네랄, 버섯","해산물, 전체요리, 치즈",Côtes du Roussillon AOC(AOP),,,Languedoc-Roussillon White,,,
"마타싸, 뱅 드 프랑스 루즈","Matassa, VDF Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173126&lq=LIST,마타싸  Matassa,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),까리냥 (Carignan/Carignane) / 그르나슈 (Grenache),16~18 ℃,"소고기, 돼지고기, 양고기 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 말린과일, 미네랄, 오크, 버섯","소고기, 돼지고기, 양고기",Côtes du Roussillon AOC(AOP),,,Languedoc-Roussillon Red,,,
"마타싸, 올라 루즈","Matassa, Olla Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173127&lq=LIST,마타싸  Matassa,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 (Grenache) / 마카베오 (Macabeo),16~18 ℃,"소고기, 양고기, 닭고기 등 육류와 잘 어울린다.",1/5,3/5,3/5,2/5,"구즈베리, 블랙체리, 블랙베리, 말린과일, 꽃, 오크","소고기, 양고기, 닭고기",Côtes du Roussillon AOC(AOP),,,Languedoc-Roussillon Red,,,
"마타싸, 블로썸","Matassa, Blossom",https://www.wine21.com/13_search/wine_view.html?Idx=173128&lq=LIST,마타싸  Matassa,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬뜨 드 루씨용(Côtes de Roussillon),뮈스까 블랑 쁘띠 그랑 (Muscat Blanc Petits Grains),10~12 ℃,"샐러드, 과일, 전체요리 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"시트러스, 열대과일, 꽃","전체요리, 샐러드, 과일",Côtes du Roussillon AOC(AOP),,,Languedoc-Roussillon White,,,
"마타싸, 브루탈 루즈","Matassa, Brutal Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173129&lq=LIST,마타싸  Matassa,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬뜨 드 루씨용(Côtes de Roussillon),시라/쉬라즈 (Syrah/Shiraz) / 뮈스까 블랑 쁘띠 그랑 (Muscat Blanc Petits Grains),16~18 ℃,"각종 육류, 치즈와 잘 어울린다.",1/5,3/5,4/5,2/5,"블랙체리, 블랙베리, 말린과일, 꽃, 미네랄, 후추, 오크","소고기, 돼지고기, 닭고기, 치즈",Côtes du Roussillon AOC(AOP),,,Languedoc-Roussillon Red,,,
"마타싸, 타투인","matassa, Tattouine",https://www.wine21.com/13_search/wine_view.html?Idx=173130&lq=LIST,마타싸  Matassa,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬뜨 드 루씨용(Côtes de Roussillon),그르나슈 그리 (Grenache Gris) / 그르나슈 (Grenache),16~18 ℃,"양고기, 담백한 닭고기 등과 잘 어울린다.",1/5,3/5,4/5,1/5,"체리, 딸기, 말린과일, 후추, 오크","양고기, 닭고기",Côtes du Roussillon AOC(AOP),,,Languedoc-Roussillon Red,,,
"페이루스, 블랑","Peyrus, Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173131&lq=LIST,페이루스  Peyrus,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬또 뒤 랑그독(Côteaux du Languedoc),까리냥 블랑 (Carignan Blanc) / 클레렛  (Clairette) / 그르나슈 그리 (Grenache Gris) / 말보이지 (Malvoisie ),10~12 ℃,"담백한 닭고기, 샐러드, 전체요리 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"살구, 복숭아, 서양배, 꽃, 미네랄, 후추","닭고기, 전체요리, 샐러드",Coteaux-du-Languedoc AOC(AOP),,,Languedoc-Roussillon White,,,
"페이루스, 끌로 데 리보씨에 루즈","Peyrus, Clos des Reboussiers Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173132&lq=LIST,페이루스  Peyrus,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬또 뒤 랑그독(Côteaux du Languedoc),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache),16~18 ℃,"소고기, 양고기, 닭고기 등과 잘 어울린다.",1/5,3/5,4/5,2/5,"블랙체리, 블루베리, 꽃, 후추, 오크, 버섯","소고기, 양고기, 닭고기",Coteaux-du-Languedoc AOC(AOP),,,Languedoc-Roussillon Red,,,
"코르바지알라, 비앙코","Corvagialla, Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=173133&lq=LIST,코르바지알라  Corvagialla,이탈리아(Italy) / 라치오(Lazio),트레비아노 (Trebbiano) / 그레케토 비앙코 (Grechetto Bianco) / 프로카니코 (Procanico),10~12 ℃,"샐러드, 전채요리, 과일 등과 잘 어울린다.",1/5,4/5,2/5,1/5,"청사과, 사과, 레몬, 꽃, 미네랄","전채요리, 샐러드, 과일",Lazio IGT(IGP),,,Central Italy White,,,
"코르바지알라, 비앙코 암바","Corvagialla, Bianco Ambar",https://www.wine21.com/13_search/wine_view.html?Idx=173134&lq=LIST,코르바지알라  Corvagialla,이탈리아(Italy) / 라치오(Lazio),그레케토 비앙코 (Grechetto Bianco) / 베르멘티노 (Vermentino),10~12 ℃,"샐러드, 과일, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 시트러스, 열대과일, 꽃, 미네랄","샐러드, 과일, 치즈",Lazio IGT(IGP),,,Central Italy White,,,
"코르바지알라, 로제","Corvagialla, Rose",https://www.wine21.com/13_search/wine_view.html?Idx=173135&lq=LIST,코르바지알라  Corvagialla,이탈리아(Italy) / 라치오(Lazio),산지오베제 (Sangiovese) / 메를로 (Merlot),12~14 ℃,"담백한 닭고기, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"라스베리, 사과, 꽃, 미네랄","닭고기, 샐러드, 치즈",Lazio IGT(IGP),,,,,,
"코르바지알라, 세레자","Corvagialla, Cereza",https://www.wine21.com/13_search/wine_view.html?Idx=173136&lq=LIST,코르바지알라  Corvagialla,이탈리아(Italy) / 라치오(Lazio),칠리에졸로 (Ciliegiolo),16~18 ℃,"샐러드, 치즈, 담백한 닭요리 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"크랜베리, 체리, 꽃, 미네랄","닭고기, 샐러드, 치즈",Lazio IGT(IGP),,,Central Italy Red,,,
"코르바지알라, 비앙코","Corvagialla, Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=173137&lq=LIST,코르바지알라  Corvagialla,이탈리아(Italy) / 라치오(Lazio),트레비아노 (Trebbiano) / 그레케토 비앙코 (Grechetto Bianco) / 프로카니코 (Procanico),10~12 ℃,"샐러드, 해산물, 전채요리 등과 잘 어울린다.",1/5,4/5,4/5,1/5,"복숭아, 배, 시트러스, 꽃, 미네랄","해산물, 전채요리, 샐러드",Lazio IGT(IGP),,,Central Italy White,,,
"코르바지알라, 로쏘 로세토","Corvagialla, Rosso Rossetto",https://www.wine21.com/13_search/wine_view.html?Idx=173138&lq=LIST,코르바지알라  Corvagialla,이탈리아(Italy) / 라치오(Lazio),산지오베제 (Sangiovese),14~16 ℃,"담백한 닭요리, 샐러드, 튀김 등과 잘 어울린다.",1/5,4/5,3/5,3/5,"블랙체리, 체리, 크랜베리, 말린과일, 꽃, 오크, 버섯, 흙","닭고기, 튀김, 샐러드",Lazio IGT(IGP),,,Central Italy Red,,,
"코르바지알라, 로쏘","Corvagialla, Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=173139&lq=LIST,코르바지알라  Corvagialla,이탈리아(Italy) / 라치오(Lazio),산지오베제 (Sangiovese),14~16 ℃,"닭고기, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,3/5,"체리, 딸기, 말린과일, 꽃, 미네랄, 오크, 버섯","닭고기, 샐러드, 치즈",Lazio IGT(IGP),,,Central Italy Red,,,
"하멜 패밀리 와인스, 이스무스","Hamel Family Wines, Isthmus",https://www.wine21.com/13_search/wine_view.html?Idx=173140&lq=LIST,하멜 패밀리 와인스  Hamel Family Wines,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 밸리(Sonoma Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot),16~18 ℃,"소고기, 스테이크, 양갈비, 바비큐, 불고기, 족발, 파스타, 햄버거, 버섯, 다양한 치즈 등과 잘 어울린다.",1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 블루베리, 자두, 제비꽃, 미네랄, 바닐라, 삼나무, 초콜릿, 다크초콜릿, 오크","등심, 소고기, 스테이크, 양갈비, 양고기, 양념갈비, 갈비찜, 라자냐, 토마토파스타, 리조또, 자두, 체더, 치즈, 에멘탈, 브리, 로크포르",,,와인투유코리아,Californian Red Blend,15~16 %,,
